page|105
项目|附注|2019年度发生额|2018年度发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||146,307,032|120,624,841
收到的税费返还||-|38,173
收到其他与经营活动有关的现金|七、80(1)|221,173|5,050,750
经营活动现金流入小计||146,528,205|125,713,764
购买商品、接受劳务支付的现金||102,805,533|86,335,639
支付给职工及为职工支付的现金||8,269,815|7,086,360
支付的各项税费||12,526,430|10,604,685
支付其他与经营活动有关的现金|七、80(2)|942,510|1,261,497
经营活动现金流出小计||124,544,288|105,288,181
经营活动产生的现金流量净额||21,983,917|20,425,583
二、投资活动产生的现金流量：|||
收回投资收到的现金||-|2,830
取得投资收益收到的现金||941,360|1,086,282
处置固定资产、无形资产和其他长 期资产收回的现金净额||73,841|88,936
收到其他与投资活动有关的现金|七、80(3)|5,630,969|5,295,398
投资活动现金流入小计||6,646,170|6,473,446
购建固定资产、无形资产和其他长 期资产支付的现金||10,945,537|9,434,445
投资支付的现金||131,001|1,180,000
支付其他与投资活动有关的现金|七、80(4)|4,226,644|10,476,496
投资活动现金流出小计||15,303,182|21,090,941
投资活动使用的现金流量净额||(8,657,012)|(14,617,495)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||31,576|2,750
其中：子公司吸收少数股东投资收到的现金||31,576|2,750
取得借款收到的现金||20,459,511|19,093,495
发行债券收到的现金||4,983,333|6,990,081
收到其他与筹资活动有关的现金|七、80(5)|-|13,656
筹资活动现金流入小计||25,474,420|26,099,982
偿还债务支付的现金||27,575,224|24,625,457
分配股利、利润或偿付利息支付的现金||7,166,384|6,566,300
其中：子公司支付给少数股东的股利||1,120,099|731,496
支付其他与筹资活动有关的现金|七、80(6)|298,884|2,508,851
筹资活动现金流出小计||35,040,492|33,700,608
筹资活动使用的现金流量净额||(9,566,072)|(7,600,626)
四、汇率变动对现金及现金等价物的||4,467|(12,026)
page|106
影响|||
五、现金及现金等价物净增加(减少)额|七、81(1)|3,765,300|(1,804,564)
加：年初现金及现金等价物余额||8,372,119|10,176,683
六、年末现金及现金等价物余额|七、81(2)|12,137,419|8,372,119
