page|98
编制单位：深圳市中金岭南有色金属股份有限公司|||金额单位：人民币元
项            目|注释|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||20,980,407,846.17|21,299,634,891.96
客户存款和同业存放款项净增加额||-13,884,611.01|-67,391,942.45
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保险业务现金净额|||
保户储金及投资款净增加额|||
处置以公允价值计量且其变动计入当期损益的金融资产净增加额|||
收取利息、手续费及佣金的现金||36,016,201.19|45,534,137.47
拆入资金净增加额|||-100,000,000.00
回购业务资金净增加额||178,523,067.53|71,728,287.47
收到的税费返还||2,182,833.78|3,345,132.82
收到其他与经营活动有关的现金|六、62（1）|302,419,439.11|228,588,310.69
经营活动现金流入小计||21,485,664,776.77|21,481,438,817.96
购买商品、接受劳务支付的现金||16,400,280,604.57|16,519,631,209.25
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额||6,691,768.47|29,771,041.05
支付原保险合同赔付款项的现金|||
支付利息、手续费及佣金的现金||10,271,151.90|7,028,280.12
支付保单红利的现金|||
支付给职工以及为职工支付的现金||1,699,288,708.04|1,623,797,405.49
支付的各项税费||856,560,013.72|1,001,676,724.21
支付其他与经营活动有关的现金|六、62（2）|291,255,436.67|327,765,101.89
经营活动现金流出小计||19,264,347,683.37|19,509,669,762.01
经营活动产生的现金流量净额||2,221,317,093.40|1,971,769,055.95
二、投资活动产生的现金流量：|||
收回投资收到的现金||217,105,525.28|140,904,854.47
取得投资收益收到的现金||193,975,675.80|84,982,882.28
处置固定资产、无形资产和其他长期资产收回的现金净额||423,481.41|23,667,538.41
处置子公司及其他营业单位收到的现金净额||1,616,216.66|13,778,520.98
收到其他与投资活动有关的现金|六、62（3）|2,320,000,000.00|1,486,279,178.09
投资活动现金流入小计||2,733,120,899.15|1,749,612,974.23
购建固定资产、无形资产和其他长期资产支付的现金||2,024,281,466.41|1,462,999,801.08
投资支付的现金||409,975,737.22|550,495,526.82
取得子公司及其他营业单位支付的现金净额||22,317,136.37|
支付其他与投资活动有关的现金|六、62（4）|1,770,000,000.00|1,250,000,000.00
投资活动现金流出小计||4,226,574,340.00|3,263,495,327.90
投资活动产生的现金流量净额||-1,493,453,440.85|-1,513,882,353.67
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||4,200,000.00
其中：子公司吸收少数股东投资收到的现金|||4,200,000.00
取得借款收到的现金||5,037,347,924.79|5,593,660,491.84
收到其他与筹资活动有关的现金|六、62（5）|342,669,213.89|
筹资活动现金流入小计||5,380,017,138.68|5,597,860,491.84
偿还债务支付的现金||5,529,172,358.41|5,399,208,066.27
分配股利、利润或偿付利息支付的现金||510,866,766.74|844,947,081.83
其中：子公司支付给少数股东的股利、利润||12,304,566.46|2,220,000.00
支付其他与筹资活动有关的现金|六、62（6）||25,274,782.46
筹资活动现金流出小计||6,040,039,125.15|6,269,429,930.56
筹资活动产生的现金流量净额||-660,021,986.47|-671,569,438.72
四、汇率变动对现金及现金等价物的影响||-9,156,865.30|-23,997,951.51
五、现金及现金等价物净增加额||58,684,800.78|-237,680,687.95
加：期初现金及现金等价物余额||1,906,600,552.34|2,144,281,240.29
六、期末现金及现金等价物余额||1,965,285,353.12|1,906,600,552.34
