page|95
|资     产|注释|2019年12月31日|2019年1月1日|2018年12月31日
流动资产：|||||
货币资金||六、1|2,746,320,345.47|3,249,752,990.11|3,249,752,990.11
结算备付金||六、2|232,833,759.93|150,435,403.55|150,435,403.55
拆出资金|||||
交易性金融资产||六、3|576,260,827.61|283,835,753.17|不适用
|以公允价值计量且其变动计入当期损益的金融资产||不适用|不适用|45,400,538.97
衍生金融资产||六、4|14,253,427.56|6,921,777.81|
应收票据|||||227,799,582.82
应收账款||六、5|543,089,537.78|547,801,222.37|549,529,599.19
应收款项融资||六、6|380,380,119.32|229,527,959.64|不适用
预付款项||六、7|93,580,881.24|99,268,309.17|99,268,309.17
其他应收款||六、8|136,884,495.97|139,355,606.02|139,355,606.02
其中：应收利息|||19,005,874.28|20,404,882.64|20,404,882.64
应收股利|||2,589,894.05|4,892,098.00|4,892,098.00
买入返售金融资产||六、9|4,757,553.50|47,716,558.79|47,716,558.79
存货||六、10|1,703,024,771.12|2,185,561,626.35|2,185,561,626.35
其他流动资产||六、11|230,377,124.58|217,135,377.94|443,623,377.94
流动资产合计|||6,661,762,844.08|7,157,312,584.92|7,138,443,592.91
非流动资产：|||||
债权投资||六、12||85,203,507.21|不适用
可供出售金融资产|||不适用|不适用|38,330,467.22
其他债权投资|||||不适用
持有至到期投资|||不适用|不适用|85,203,507.21
长期股权投资||六、13|609,916,766.32|563,770,704.84|563,770,704.84
其他权益工具投资||六、14|20,290,185.77|19,461,475.21|不适用
投资性房地产||六、15|53,704,448.96|47,218,484.29|47,218,484.29
固定资产||六、16|7,235,364,215.60|5,976,063,102.10|5,976,063,102.10
在建工程||六、17|863,404,355.15|850,802,046.55|850,802,046.55
无形资产||六、18|3,221,381,744.10|3,014,998,947.60|3,014,998,947.60
商誉||六、19|140,882,354.35|140,882,354.35|140,882,354.35
长期待摊费用||六、20|24,232,392.32|16,019,124.82|16,019,124.82
递延所得税资产||六、21|410,419,136.90|362,042,443.90|362,042,443.90
其他非流动资产||六、22|1,079,243,203.42|1,272,557,427.41|1,272,557,427.41
非流动资产合计|||13,658,838,802.89|12,349,019,618.28|12,367,888,610.29
资产总计|||20,320,601,646.97|19,506,332,203.20|19,506,332,203.20
page|96
|||2019|年年度|报
|合并资产负债表(负债及所有者权益)||||
||||会合01 表|
编制单位：深圳市中金岭南有色金属股份有限公司||||单位：人民币元|
项      目|注释|2019年12月31日|2019年1月1日|2018年12月31日|
流动负债：|||||
短期借款|六、23|3,316,159,817.52|3,181,208,492.85|3,181,208,492.85|
向中央银行借款|||||
吸收存款及同业存放|六、24||13,884,611.01|13,884,611.01|
拆入资金|||||
交易性金融负债||||不适用|
以公允价值计量且其变动计入当期损益的金融负债||不适用|不适用||
衍生金融负债|||||
应付票据|六、25|9,620,775.00|||
应付账款|六、26|864,284,417.37|793,994,256.10|793,994,256.10|
预收款项|六、27|152,344,202.21|214,196,090.28|214,196,090.28|
卖出回购金融资产款|六、28|250,251,355.00|71,728,287.47|71,728,287.47|
应付手续费及佣金|六、29|206,732.50|203,866.11|203,866.11|
应付职工薪酬|六、30|348,498,578.60|319,003,453.24|319,003,453.24|
应交税费|六、31|92,444,119.01|189,559,412.90|189,559,412.90|
其他应付款|六、32|1,180,352,664.19|725,865,080.95|725,865,080.95|
其中：应付利息||4,862,680.71|1,985,787.51|1,985,787.51|
应付股利||1,552,470.00|1,547,982.28|1,547,982.28|
持有待售负债|||||
一年内到期的非流动负债|六、33|50,368,126.25|876,283,481.73|876,283,481.73|
其他流动负债|六、34|2,627,394.61|3,498,410.19|3,498,410.19|
流动负债合计||6,267,158,182.26|6,389,425,442.83|6,389,425,442.83|
非流动负债：|||||
长期借款|六、35|915,312,609.95|705,726,566.10|705,726,566.10|
应付债券|||||
其中：优先股|||||
永续债|||||
长期应付款|六、36|38,739,566.01|45,840,013.06|45,840,013.06|
长期应付职工薪酬|六、37|742,537,321.04|765,265,545.26|765,265,545.26|
预计负债|六、38|243,839,777.93|222,961,461.00|222,961,461.00|
递延收益|六、39|67,563,810.07|80,602,673.43|80,602,673.43|
递延所得税负债|六、21|681,620,985.20|579,555,567.67|579,555,567.67|
其他非流动负债|||||
非流动负债合计||2,689,614,070.20|2,399,951,826.52|2,399,951,826.52|
负债合计||8,956,772,252.46|8,789,377,269.35|8,789,377,269.35|
股东权益：|||||
股本|六、40|3,569,685,327.00|3,569,685,327.00|3,569,685,327.00|
其他权益工具|||||
其中：优先股|||||
永续债|||||
资本公积|六、41|1,549,222,337.33|1,544,585,626.83|1,544,585,626.83|
减：库存股|||||
其他综合收益|六、42|-287,827,670.58|-326,963,832.91|-326,963,832.91|
专项储备|六、43|435,211.61|333,539.09|333,539.09|
盈余公积|六、44|964,588,370.74|898,035,651.20|898,035,651.20|
未分配利润|六、45|5,138,614,508.89|4,638,636,915.96|4,638,636,915.96|
归属于母公司所有者权益合计||10,934,718,084.99|10,324,313,227.17|10,324,313,227.17|
少数股东权益||429,111,309.52|392,641,706.68|392,641,706.68|
所有者权益合计||11,363,829,394.51|10,716,954,933.85|10,716,954,933.85|
负债和所有者权益总计||20,320,601,646.97|19,506,332,203.20|19,506,332,203.20|
