page|114
||本期金额||上期金额|
项目|附注||||
||合并|公司|合并|公司
一、营业收入|五、47|47,612,587,464.50|801,491,539.77|42,156,628,800.11|661,222,883.80
减：营业成本|五、47|42,223,411,917.10|333,183,369.63|37,615,586,184.77|285,175,292.67
税金及附加|五、48|60,616,092.81|4,786,024.41|53,140,738.34|2,767,521.84
销售费用|五、49|1,562,696,499.51|8,752,800.43|1,377,926,458.68|5,641,884.77
管理费用|五、50|1,190,746,169.15|307,640,882.34|967,112,552.40|270,389,544.81
研发费用|五、51|416,009,959.72|150,757,403.12|309,167,320.66|107,532,183.91
财务费用|五、52|211,949,889.53|72,769,221.15|219,052,330.92|38,461,499.24
其中：利息费用||226,706,748.45|192,491,251.13|189,458,281.87|218,389,144.61
利息收入||32,415,237.75|130,741,914.61|32,211,787.13|243,898,312.87
加：其他收益|五、53|52,346,144.86|11,814,738.58|56,101,876.75|21,096,700.35
投资收益(损失以“-”|||||
|五、54|160,042,248.95|1,233,790,116.18|151,089,721.85|1,380,654,166.66
号填列）|||||
其中：对联营企|||||
业和合营企业的投资||13,127,173.32|8,990,725.43|6,349,268.04|1,415,674.66
收益|||||
page|115
||||广东海大集团股份有限公司 2019 年年度报告全文|
减：营业外支出|五、60|38,793,929.24|1,312,862.99|29,115,910.11|3,837,704.11
三、利润总额(亏损总|||||
||2,094,021,716.21|1,172,507,766.80|1,766,203,052.64|1,382,211,947.51
额以“-”号填列）|||||
减：所得税费用|五、61|304,514,610.16|15,737,000.28|282,262,891.74|14,541,184.65
四、净利润(净亏损以|||||
||1,789,507,106.05|1,156,770,766.52|1,483,940,160.90|1,367,670,762.86
“-”号填列）|||||
（一）按经营持续性分|||||
类：|||||
其中：持续经营净利润|||||
||1,789,507,106.05|1,156,770,766.52|1,483,940,160.90|1,367,670,762.86
（净亏损以“-”号填列）|||||
终止经营净利润（净亏|||||
||-|-|-|-
损以“-”号填列）|||||
（二）按所有权归属分|||||
类：|||||
其中：归属于母公司股|||||
东的净利润（净亏损以||1,648,762,579.59|1,156,770,766.52|1,437,281,732.28|1,367,670,762.86
“-”号填列）|||||
少数股东损益（净亏损|||||
||140,744,526.46|-|46,658,428.62|-
以“-”号填列）|||||
五、其他综合收益的税|||||
||-2,824,205.77|-|6,647,951.72|-
后净额|||||
归属于母公司股东的|||||
其他综合收益的税后||-2,308,513.75|-|10,372,192.53|-
净额|||||
（一）不能重|||||
分类进损益的其他综||-|-|-|-
合收益|||||
（二）将重分|||||
类进损益的其他综合||-2,308,513.75|-|10,372,192.53|-
收益|||||
1、外币财务|||||
||-2,308,513.75|-|10,372,192.53|-
报表折算差额|||||
归属于少数股东的其|||||
他综合收益的税后净||-515,692.02|-|-3,724,240.81|-
额|||||
六、综合收益总额||1,786,682,900.28|1,156,770,766.52|1,490,588,112.62|1,367,670,762.86
归属于母公司股东的|||||
||1,646,454,065.84|1,156,770,766.52|1,447,653,924.81|-
综合收益总额|||||
归属于少数股东的综|||||
||140,228,834.44|-|42,934,187.81|-
合收益总额|||||
七、每股收益|||||
page|116
||广东海大集团股份有限公司 2019 年年度报告全文|
（一）基本每股收益|1.06|0.90|
（二）稀释每股收益|1.05|0.90|
公司法定代表人：薛华      主管会计工作的公司负责人：杨少林    公司会计机构负责人：杨少林|||
|||115
