page|110
1、|||合并及公司资产负债表||
|||2019 年 12 月 31 日||
|编制单位：广东海大集团股份有限公司||||单位：人民币元
||2019 年 12 月 31 日||2018 年 12 月 31 日|
项目|附注||||
||合并|公司|合并|公司
流动资产：|||||
货币资金|五、1|1,849,735,912.84|835,484,081.66|1,735,409,838.58|1,236,624,716.15
交易性金融资产|五、2|28,583,495.35|18,432,715.85|-|-
以公允价值计量|||||
且其变动计入当|||||
|五、3|-|-|49,672,592.73|49,293,017.73
期损益的金融资|||||
产|||||
衍生金融资产||-|-|-|-
应收票据|五、4|10,722,401.32|-|10,509,311.36|-
应收账款|五、5|1,021,751,432.56|-|1,096,136,255.70|-
应收款项融资||-|-|-|-
预付款项|五、6|452,844,423.19|4,383,870.87|424,850,022.62|22,254,307.76
其他应收款|五、7|186,236,378.57|6,904,805,047.57|502,215,573.25|6,996,953,598.79
其中：应收利息||8,069.14|-|1,794,497.12|8,630.13
应收股利||-|-|-|35,271,940.95
存货|五、8|4,463,319,035.43|23,596,543.22|4,843,780,132.17|17,550.00
合同资产||-|-||
持有待售资产|五、9|28,946,788.99|-|-|-
一年内到期的非|||||
|五、10|903,000.00|-|903,000.00|-
流动资产|||||
其他流动资产|五、11|691,897,026.52|7,995,946.84|628,751,210.59|34,776,246.75
流动资产合计||8,734,939,894.77|7,794,698,206.01|9,292,227,937.00|8,339,919,437.18
非流动资产：|||||
债权投资||-|-|-|-
发放贷款和垫款|五、12|15,281,255.35|-|157,600.00|-
可供出售金融资|||||
|五、13|-|-|323,421,350.00|292,900,000.00
产|||||
其他债权投资||-|-||
持有至到期投资||-|-|-|-
page|111
||||广东海大集团股份有限公司 2019 年年度报告全文|
长期应收款|五、14|48,844,850.63|1,627,302.50|17,519,129.52|1,527,302.50
长期股权投资|五、15|62,614,691.35|4,053,854,039.62|38,614,535.85|3,103,551,860.05
其他权益工具投|||||
||-|-|-|-
资|||||
其他非流动金融|||||
|五、16|255,521,350.00|225,000,000.00|-|-
资产|||||
投资性房地产|五、17|30,645,502.71|14,317,378.50|46,397,156.64|36,316,499.75
固定资产|五、18|6,298,328,342.41|230,056,977.11|4,555,480,833.77|206,423,560.87
在建工程|五、19|657,751,195.76|19,384,268.98|724,011,706.23|17,989,781.29
生产性生物资产|五、20|165,272,087.28|-|56,828,507.31|-
油气资产||-|-|-|-
使用权资产||-|-|-|-
无形资产|五、21|1,122,210,364.05|106,977,723.95|928,766,148.39|91,340,568.10
开发支出|五、22|14,914,419.56|-|2,776,367.58|-
商誉|五、23|349,068,366.52|-|380,610,061.82|-
长期待摊费用|五、24|241,325,867.74|23,316,596.39|231,144,073.09|20,848,132.10
递延所得税资产|五、25|591,920,121.34|267,443,309.22|456,499,156.68|190,619,356.04
其他非流动资产|五、26|265,676,908.84|8,145,708.44|311,209,297.18|2,659,873.34
非流动资产合计||10,119,375,323.54|4,950,123,304.71|8,073,435,924.06|3,964,176,934.04
资产总计||18,854,315,218.31|12,744,821,510.72|17,365,663,861.06|12,304,096,371.22
page|112
||2019 年 12 月 31 日||2018 年 12 月 31 日|
项目|附注||||
||合并|公司|合并|公司
流动负债：|||||
短期借款|五、27|3,020,892,004.18|2,313,032,093.55|2,715,954,867.69|2,168,367,337.60
交易性金融负债|五、28|2,633,510.00|996,670.00|-|-
以公允价值计量且|||||
其变动计入当期损|五、29|-|-|46,271,790.00|32,630,290.00
益的金融负债|||||
衍生金融负债||-|-|-|-
应付票据||-|-|-|-
应付账款|五、30|1,917,055,340.85|25,086,884.14|1,512,857,075.94|3,323,382.83
预收款项|五、31|1,548,283,455.21|-|1,307,260,014.70|-
合同负债||-|-|-|-
应付职工薪酬|五、32|691,556,025.73|113,898,495.24|596,600,236.73|121,078,753.60
应交税费|五、33|106,556,060.79|1,045,722.46|118,589,643.19|2,024,745.82
其他应付款|五、34|382,083,114.86|2,624,459,870.36|461,701,978.92|1,872,126,815.24
其中：应付利息||-|-|25,144,934.16|17,572,923.73
应付股利||1,159,042.39|-|6,250,397.10|-
持有待售负债||-|-|-|-
一年内到期的非流|||||
|五、35|48,838,331.24|45,139,661.24|31,352,957.13|27,891,871.77
动负债|||||
其他流动负债|五、36|187,961,887.41|19,441,864.89|160,521,969.41|24,112,595.05
流动负债合计||7,905,859,730.27|5,143,101,261.88|6,951,110,533.71|4,251,555,791.91
非流动负债：|||||
长期借款|五、37|821,661,042.98|220,290,277.78|1,842,910,000.00|1,499,750,000.00
应付债券||-|-|-|-
租赁负债||-|-|-|-
长期应付款|五、38|85,596,111.44|38,712,712.67|115,622,929.75|79,288,904.41
长期应付职工薪酬|五、39|66,078,784.25|-|64,891,859.13|-
预计负债||-|-|-|-
page|113
||||广东海大集团股份有限公司 2019 年年度报告全文|
递延收益|五、40|120,386,515.06|14,564,630.31|68,368,132.23|9,166,812.14
递延所得税负债|五、25|112,742,726.55|14,632,099.92|98,834,372.34|24,340,746.74
其他非流动负债||-|-|-|-
非流动负债合计||1,206,465,180.28|288,199,720.68|2,190,627,293.45|1,612,546,463.29
负债合计||9,112,324,910.55|5,431,300,982.56|9,141,737,827.16|5,864,102,255.20
股本|五、41|1,580,357,494.00|1,580,357,494.00|1,581,211,084.00|1,581,211,084.00
其他权益工具||-|-|-|-
其中：优先股||-|-|-|-
永续债||-|-|-|-
资本公积|五、42|2,118,792,106.43|2,202,920,835.86|2,010,778,182.22|2,089,547,854.24
减：库存股|五、43|172,540,566.20|172,540,566.20|251,038,100.40|251,038,100.40
其他综合收益|五、44|5,292,263.90|-|7,600,777.65|-
专项储备||-|-|-|-
盈余公积|五、45|634,407,803.71|634,407,803.71|518,730,727.06|518,730,727.06
未分配利润|五、46|4,937,480,629.17|3,068,374,960.79|3,878,656,406.43|2,501,542,551.12
归属于母公司股东|||||
||9,103,789,731.01|7,313,520,528.16|7,745,939,076.96|6,439,994,116.02
权益合计|||||
少数股东权益||638,200,576.75|-|477,986,956.94|-
股东（或所有者）权|||||
||9,741,990,307.76|7,313,520,528.16|8,223,926,033.90|6,439,994,116.02
益合计|||||
负债和股东（或所有|||||
||18,854,315,218.31|12,744,821,510.72|17,365,663,861.06|12,304,096,371.22
者）权益总计|||||
