page|123
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,709,616,702.68|1,572,967,229.09
page|124
收到的税费返还||-|11,028,599.03
收到其他与经营活动有关的现金|78|61,467,932.99|130,352,699.43
经营活动现金流入小计||1,771,084,635.67|1,714,348,527.55
购买商品、接受劳务支付的现金||362,645,658.93|293,685,356.71
支付给职工及为职工支付的现金||318,582,285.68|242,971,692.44
支付的各项税费||139,037,027.41|197,912,097.41
支付其他与经营活动有关的现金|78|601,908,783.53|588,492,175.65
经营活动现金流出小计||1,422,173,755.55|1,323,061,322.21
经营活动产生的现金流量净额|79|348,910,880.12|391,287,205.34
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,619,112,656.54|975,531,210.00
取得投资收益收到的现金||88,292,847.22|78,034,428.04
处置固定资产、无形资产和其他长期资产收回的现金净额||489,521.69|1,337,128.96
收到其他与投资活动有关的现金|78|71,573,253.95|-
投资活动现金流入小计||1,779,468,279.40|1,054,902,767.00
购建固定资产、无形资产和其他长期资产支付的现金||399,299,533.32|151,874,415.44
投资支付的现金||2,387,241,503.36|1,597,434,800.73
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|79|106,087,062.59|74,245,620.91
支付其他与投资活动有关的现金|78|22,580,280.42|25,990,955.44
投资活动现金流出小计||2,915,208,379.69|1,849,545,792.52
投资活动产生的现金流量净额||-1,135,740,100.29|-794,643,025.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,539,056,886.00|-
取得借款收到的现金||52,884,598.32|40,364,325.40
筹资活动现金流入小计||1,591,941,484.32|40,364,325.40
偿还债务支付的现金||79,514,578.14|42,277,921.00
分配股利、利润或偿付利息支付的现金||92,839,164.21|82,205,136.39
其中：子公司支付给少数股东的股利、利润||8,342,668.67|-
支付其他与筹资活动有关的现金|78|27,041,479.85|1,210,560.00
筹资活动现金流出小计||199,395,222.20|125,693,617.39
筹资活动产生的现金流量净额||1,392,546,262.12|-85,329,291.99
四、汇率变动对现金及现金等价物的影响||3,163,393.00|2,422,000.00
page|125
五、现金及现金等价物净增加额||608,880,434.95|-486,263,112.17
加：期初现金及现金等价物余额||335,625,539.75|821,888,651.92
六、期末现金及现金等价物余额|79|944,505,974.70|335,625,539.75
