page|119
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|3,222,508,375.73|1,442,746,898.76
交易性金融资产|2|8,007,571.80|312,000.00
应收账款|5|381,990,938.69|384,517,772.04
预付款项|7|37,427,390.14|33,597,727.92
其他应收款|8|10,452,517.67|107,474,272.57
存货|9|239,988,227.06|197,630,690.29
持有待售资产|11|-|81,282,860.32
其他流动资产|13|45,000,000.00|45,000,000.00
流动资产合计||3,945,375,021.09|2,292,562,221.90
非流动资产：|||
其他权益工具投资|18|292,629,710.56|236,900,277.42
长期股权投资|17|5,328,690.20|354,699,859.80
固定资产|21|534,488,811.79|416,663,341.94
在建工程|22|356,508,215.31|278,271,934.73
使用权资产|25|33,328,856.49|-
无形资产|26|613,993,777.67|468,444,550.27
商誉|28|333,492,926.62|332,003,264.39
长期待摊费用|29|4,073,780.30|8,917,307.41
递延所得税资产|30|18,392,589.46|17,012,530.76
其他非流动资产|31|14,257,016.68|30,877,298.04
非流动资产合计||2,206,494,375.08|2,143,790,364.76
资产总计||6,151,869,396.17|4,436,352,586.66
流动负债：|||
短期借款|32|5,302,324.62|18,893,524.84
应付票据|35|-|4,339,877.40
应付账款|36|36,785,876.99|36,842,837.91
合同负债|38|18,069,415.96|22,418,358.64
应付职工薪酬|39|59,634,235.35|44,107,276.34
应交税费|40|46,646,082.04|50,932,709.26
其他应付款|41|173,120,150.81|179,755,643.69
其中：应付利息||-|76,237.50
应付股利||43,217,041.63|-
一年内到期的非流动负债|43|20,407,605.30|94,028,893.01
流动负债合计||359,965,691.07|451,319,121.09
非流动负债：|||
长期借款|45|652,678.65|16,386,479.61
租赁负债|47|23,349,226.84|-
递延收益|51|3,599,241.67|6,203,436.66
递延所得税负债|30|110,950,026.25|126,997,540.92
page|120
非流动负债合计||138,551,173.41|149,587,457.19
负债合计||498,516,864.48|600,906,578.28
所有者权益（或股东权益）：|||
实收资本 (或股本)|53|177,845,300.00|160,045,300.00
资本公积|55|3,281,590,716.86|1,770,121,958.83
其他综合收益|57|59,803,860.42|43,386,289.36
盈余公积|59|88,922,650.00|80,022,650.00
未分配利润|60|1,846,617,117.21|1,557,933,549.66
归属于母公司所有者权益（或股东权益）合计||5,454,779,644.49|3,611,509,747.85
少数股东权益||198,572,887.20|223,936,260.53
所有者权益（或股东权益）合计||5,653,352,531.69|3,835,446,008.38
负债和所有者权益（或股东权益）总计||6,151,869,396.17|4,436,352,586.66
