page|121
项目|附注七|2019 年度|2018 年度
一、营业总收入||1,604,333,866.54|1,558,452,694.03
其中：营业收入|61|1,604,333,866.54|1,558,452,694.03
二、营业总成本||1,236,466,668.21|1,114,864,196.53
其中：营业成本|61|363,999,299.40|334,385,668.15
税金及附加|62|9,256,245.19|11,926,026.87
销售费用|63|544,128,858.02|495,076,201.79
管理费用|64|266,555,471.33|240,355,173.62
研发费用|65|116,076,024.05|95,369,677.36
财务费用|66|-63,549,229.78|-62,248,551.26
其中：利息费用||4,537,544.66|2,148,100.17
利息收入||66,570,920.45|59,087,450.77
加：其他收益|67|46,325,353.30|64,440,135.15
投资收益（损失以“－”号填列）|68|20,573,521.50|22,705,827.17
其中：对联营企业和合营企业的投资收益||27,912,484.44|11,514,888.64
信用减值损失（损失以“-”号填列）|71|923,038.64|-2,508,456.61
资产减值损失（损失以“-”号填列）|72|-558,074.47|-427,051.37
page|122
资产处置收益（损失以“－”号填列）|73|248,423.79|-1,259,172.17
三、营业利润（亏损以“－”号填列）||435,379,461.09|526,539,779.67
加：营业外收入|74|19,392.47|14,120.02
减：营业外支出|75|1,050,100.64|1,368,971.25
四、利润总额（亏损总额以“－”号填列）||434,348,752.92|525,184,928.44
减：所得税费用|76|57,972,114.07|70,105,602.48
五、净利润（净亏损以“－”号填列）||376,376,638.85|455,079,325.96
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||376,376,638.85|455,079,325.96
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||370,778,791.81|414,540,417.19
2.少数股东损益（净亏损以“-”号填列）||5,597,847.04|40,538,908.77
六、其他综合收益的税后净额||28,843,486.74|75,127,162.23
（一）归属母公司所有者的其他综合收益的税后净额|57|23,244,996.80|76,431,523.38
1．不能重分类进损益的其他综合收益||6,824,673.43|77,331,336.09
（3）其他权益工具投资公允价值变动||6,824,673.43|77,331,336.09
2．将重分类进损益的其他综合收益||16,420,323.37|-899,812.71
（8）外币财务报表折算差额||16,420,323.37|-899,812.71
（二）归属于少数股东的其他综合收益的税后净额||5,598,489.94|-1,304,361.15
七、综合收益总额||405,220,125.59|530,206,488.19
（一）归属于母公司所有者的综合收益总额||394,023,788.61|490,971,940.57
（二）归属于少数股东的综合收益总额||11,196,336.98|39,234,547.62
八、每股收益：|||
（一）基本每股收益(元/股)||2.27|2.59
（二）稀释每股收益(元/股)||2.27|2.59
