page|82
项目|附注五|本期金额|上期金额
一、营业总收入|（五十五）|32,840,321,080.22|30,706,145,358.82
其中：营业收入|（五十五）|31,777,585,757.68|29,729,655,571.73
利息收入|（五十五）|1,062,215,899.11|969,278,602.81
已赚保费|||
手续费及佣金收入|（五十五）|519,423.43|7,211,184.28
二、营业总成本||30,697,953,151.01|29,146,750,868.77
其中：营业成本|（五十五）|24,938,437,889.53|23,568,286,522.07
利息支出|（五十五）|81,498,284.37|75,134,577.37
手续费及佣金支出|（五十五）|165,136.20|966,188.86
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（五十六）|240,099,288.59|334,517,433.51
销售费用|（五十七）|1,308,499,758.09|1,357,972,140.61
管理费用|（五十八）|2,380,523,760.63|2,501,402,084.71
研发费用|（五十九）|1,888,388,724.59|1,689,014,827.23
财务费用|（六十）|-139,659,690.99|-380,542,905.59
其中：利息费用|（六十）|49,431,576.08|37,439,485.33
利息收入|（六十）|83,050,317.66|149,395,707.65
加：其他收益|（六十一）|139,844,440.55|111,127,012.38
投资收益（损失以“-”号填列）|（六十二）|377,935,987.09|245,947,029.53
其中：对联营企业和合营企业的投资收益|（六十二）|203,802,439.98|132,557,375.04
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|（六十三）|872,319.89|1,112,082.95
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（六十四）|-126,073,198.44|83,645,380.11
信用减值损失（损失以“-”号填列）|（六十五）|-25,782,025.30|-255,937,862.31
资产减值损失（损失以“-”号填列）|（六十六）|-896,326,277.66|-524,002,955.35
资产处置收益（损失以“-”号填列）|（六十七）|9,424,700.01|17,421,655.84
三、营业利润（亏损以“-”号填列）||1,622,263,875.35|1,238,706,833.20
加：营业外收入|（六十八）|104,192,017.32|163,286,246.15
减：营业外支出|（六十九）|147,871,972.61|126,523,356.02
四、利润总额（亏损总额以“-”号填列）||1,578,583,920.06|1,275,469,723.33
减：所得税费用|（七十）|197,712,209.73|117,204,032.48
五、净利润（净亏损以“-”号填列）||1,380,871,710.33|1,158,265,690.85
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||1,380,871,710.33|1,158,265,690.85
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||1,277,671,818.13|1,128,834,236.51
2．少数股东损益（净亏损以“-”号填列）||103,199,892.20|29,431,454.34
六、其他综合收益的税后净额|（四十七）|10,537,271.19|15,816,290.45
归属于母公司所有者的其他综合收益的税后净额|（四十七）|8,939,920.42|12,320,225.54
（一）不能重分类进损益的其他综合收益|（四十七）||-81,914.82
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|（四十七）||-81,914.82
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|（四十七）|8,939,920.42|12,402,140.36
1．权益法下可转损益的其他综合收益|（四十七）|1,791,356.58|
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额|（四十七）|7,148,563.84|12,402,140.36
7．其他|||
归属于少数股东的其他综合收益的税后净额|（四十七）|1,597,350.77|3,496,064.91
七、综合收益总额||1,391,408,981.52|1,174,081,981.30
归属于母公司所有者的综合收益总额||1,286,611,738.55|1,141,154,462.05
归属于少数股东的综合收益总额||104,797,242.97|32,927,519.25
八、每股收益：|||
（一）基本每股收益（元/股）|（七十一）|0.41|0.37
（二）稀释每股收益（元/股）|（七十一）|0.41|0.37
