page|78
资产|附注五|期末余额|上年年末余额
流动资产：|||
货币资金|（一）|30,479,728,679.02|29,346,448,438.05
结算备付金|||
拆出资金|（二）|469,762,000.00|300,000,000.00
交易性金融资产|（三）|1,606,664,199.35|3,122,839,818.04
衍生金融资产|||
应收票据|（四）|1,518,715,778.12|5,109,357,725.63
应收账款|（五）|6,215,286,948.87|6,555,217,018.91
应收款项融资|（六）|1,816,408,795.25|
预付款项|（七）|2,467,333,662.69|1,913,342,742.55
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|989,033,924.05|535,465,160.58
买入返售金融资产|（九）|2,490,000,000.00|1,744,127,000.00
存货|（十）|13,142,022,679.41|13,873,986,465.23
合同资产|（十一）|7,290,368,005.89|10,187,971,672.86
持有待售资产|||
一年内到期的非流动资产|（十二）||396,500,000.00
其他流动资产|（十三）|913,567,655.40|470,439,698.83
流动资产合计||69,398,892,328.05|73,555,695,740.68
非流动资产：|||
发放贷款和垫款|（十四）|1,025,152,847.76|430,663,941.00
债权投资|（十五）|3,756,152,435.75|4,922,529,793.75
其他债权投资|||
长期应收款|（十六）|390,738,271.80|13,775,453.41
长期股权投资|（十七）|1,717,650,083.08|1,516,634,253.84
其他权益工具投资|（十八）|4,889,859.48|4,989,859.48
其他非流动金融资产|||
投资性房地产|（十九）|175,495,834.49|153,816,742.24
固定资产|（二十）|5,279,930,962.85|5,902,438,578.09
在建工程|（二十一）|382,771,135.73|188,792,238.53
生产性生物资产|||
油气资产|||
使用权资产|（二十二）|291,388,386.25|
无形资产|（二十三）|1,632,833,016.54|1,681,044,339.19
开发支出|||
商誉|||
长期待摊费用|（二十四）|50,792,966.40|51,778,532.60
递延所得税资产|（二十五）|2,892,961,105.86|2,897,188,154.97
其他非流动资产|（二十六）|2,619,316,321.68|3,981,790.00
非流动资产合计||20,220,073,227.67|17,767,633,677.10
资产总计||89,618,965,555.72|91,323,329,417.78
page|79
负债和所有者权益|附注五|期末余额|上年年末余额
流动负债：|||
短期借款|（二十七）|13,850,000.00|245,566,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|（二十八）|3,650,947,932.56|3,552,762,831.53
应付账款|（二十九）|11,833,812,175.96|11,540,188,158.94
预收款项|（三十）|28,000,000.00|
合同负债|（三十一）|25,873,464,019.06|29,460,944,098.28
卖出回购金融资产款|||
吸收存款及同业存放|（三十二）|4,999,411,987.90|4,793,625,912.49
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十三）|780,900,223.52|772,584,805.65
应交税费|（三十四）|261,045,191.58|461,097,975.94
其他应付款|（三十五）|1,770,776,404.82|1,749,869,606.78
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（三十六）|154,232,008.74|16,320,000.00
其他流动负债|（三十七）|87,375,624.68|103,588,912.65
流动负债合计||49,453,815,568.82|52,696,548,302.26
非流动负债：|||
保险合同准备金|||
长期借款|（三十八）|627,019,323.12|462,864,840.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|（三十九）|156,664,637.27|
长期应付款|（四十）|9,600,357.51|26,340,460.52
长期应付职工薪酬|（四十一）|784,413,550.52|837,303,270.07
预计负债|（四十二）|6,280,380,090.91|6,136,106,066.37
递延收益|（四十三）|470,607,566.07|444,014,801.58
递延所得税负债|（二十五）|38,031,490.91|26,243,061.77
其他非流动负债|||
非流动负债合计||8,366,717,016.31|7,932,872,500.31
负债合计||57,820,532,585.13|60,629,420,802.57
所有者权益：|||
股本|（四十四）|3,090,803,431.00|3,090,803,431.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（四十五）|11,345,339,174.91|11,251,874,281.59
减：库存股|（四十六）|165,972,988.00|
其他综合收益|（四十七）|-24,418,047.58|-33,400,468.00
专项储备|（四十八）|76,102,748.09|79,395,179.18
盈余公积|（四十九）|907,174,974.45|871,273,166.80
一般风险准备|||
未分配利润|（五十）|14,225,616,456.64|13,324,105,405.23
归属于母公司所有者权益合计||29,454,645,749.51|28,584,050,995.80
少数股东权益|（五十一）|2,343,787,221.08|2,109,857,619.41
所有者权益合计||31,798,432,970.59|30,693,908,615.21
负债和所有者权益总计||89,618,965,555.72|91,323,329,417.78
