page|84
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||30,550,893,393.88|29,595,614,470.26
客户存款和同业存放款项净增加额||-275,896,804.64|2,078,500,166.11
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额||44,266,999.55|
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||490,057,542.95|589,460,360.07
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||100,212,853.64|265,367,421.00
收到其他与经营活动有关的现金|（七十三）|5,527,908,695.44|3,427,343,790.94
经营活动现金流入小计||36,437,442,680.82|35,956,286,208.38
购买商品、接受劳务支付的现金||23,534,532,445.43|20,830,400,100.46
客户贷款及垫款净增加额||657,004,382.91|1,947,703,068.12
存放中央银行和同业款项净增加额||-274,984,392.26|1,242,049,849.48
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||201,323,478.28|1,009,547.58
支付保单红利的现金|||
支付给职工以及为职工支付的现金||3,974,168,812.65|3,639,365,124.45
支付的各项税费||1,935,781,193.96|2,474,343,611.18
支付其他与经营活动有关的现金|（七十三）|6,207,372,134.74|6,373,195,212.12
经营活动现金流出小计||36,235,198,055.71|36,508,066,513.39
经营活动产生的现金流量净额||202,244,625.11|-551,780,305.01
二、投资活动产生的现金流量|||
收回投资收到的现金||2,706,215,667.46|2,887,805,396.49
取得投资收益收到的现金||259,368,343.88|162,676,258.15
处置固定资产、无形资产和其他长期资产收回的现金净额||10,152,002.58|24,385,417.26
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,975,736,013.92|3,074,867,071.90
购建固定资产、无形资产和其他长期资产支付的现金||642,236,879.74|184,988,467.66
投资支付的现金||876,647,776.59|3,307,133,584.95
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十三）|86,617,620.30|7,832,015.87
投资活动现金流出小计||1,605,502,276.63|3,499,954,068.48
投资活动产生的现金流量净额||1,370,233,737.29|-425,086,996.58
三、筹资活动产生的现金流量|||
吸收投资收到的现金||392,324,954.48|49,500,000.00
其中：子公司吸收少数股东投资收到的现金||226,351,966.48|49,500,000.00
取得借款收到的现金||201,650,000.00|469,670,700.00
收到其他与筹资活动有关的现金|（七十三）||33,383,333.33
筹资活动现金流入小计||593,974,954.48|552,554,033.33
偿还债务支付的现金||259,203,634.56|797,174,810.00
分配股利、利润或偿付利息支付的现金||416,840,612.55|63,718,740.48
其中：子公司支付给少数股东的股利、利润||361,037,164.19|21,620,351.55
支付其他与筹资活动有关的现金|（七十三）|22,471,381.94|945,291,074.68
筹资活动现金流出小计||698,515,629.05|1,806,184,625.16
筹资活动产生的现金流量净额||-104,540,674.57|-1,253,630,591.83
四、汇率变动对现金及现金等价物的影响||104,804,772.87|282,376,135.24
五、现金及现金等价物净增加额||1,572,742,460.70|-1,948,121,758.18
加：期初现金及现金等价物余额||26,899,627,194.15|28,847,748,952.33
六、期末现金及现金等价物余额||28,472,369,654.85|26,899,627,194.15
