page|125
西藏旅游股份有限公司|||2019 年年度报告
向中央银行借款净增加额|||
向其他金融机构拆入资金净|||
增加额|||
收到原保险合同保费取得的|||
现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的|||
现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净|||
额|||
收到的税费返还|||
收到其他与经营活动有关的|七、76（1）|14,057,345.80|3,619,222.17
现金|||
经营活动现金流入小计||260,677,867.26|196,747,547.14
购买商品、接受劳务支付的||52,568,006.07|30,435,580.01
现金|||
客户贷款及垫款净增加额|||
存放中央银行和同业款项净|||
增加额|||
支付原保险合同赔付款项的|||
现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的|||
现金|||
支付保单红利的现金|||
支付给职工及为职工支付的||62,176,928.22|49,397,878.55
现金|||
支付的各项税费||7,030,349.15|4,885,439.99
支付其他与经营活动有关的|七、76（2）|59,099,163.02|73,861,311.50
page|126
经营活动现金流出小计||180,874,446.46|158,580,210.05
经营活动产生的现金流||79,803,420.80|38,167,337.09
量净额|||
二、投资活动产生的现金流|||
量：|||
收回投资收到的现金|||
取得投资收益收到的现金||13,284,567.12|18,355,657.54
处置固定资产、无形资产和||94,000.00|596,255,010.76
其他长期资产收回的现金净额|||
处置子公司及其他营业单位|||
收到的现金净额|||
收到其他与投资活动有关的|七、76（3）|1,423,000,000.00|1,000,000,000.00
现金|||
投资活动现金流入小计||1,436,378,567.12|1,614,610,668.30
购建固定资产、无形资产和||107,041,130.13|71,641,632.28
其他长期资产支付的现金|||
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位|||
支付的现金净额|||
支付其他与投资活动有关的|七、76（4）|1,423,000,000.00|1,430,000,000.00
现金|||
投资活动现金流出小计||1,530,041,130.13|1,501,641,632.28
投资活动产生的现金流||-93,662,563.01|112,969,036.02
量净额|||
三、筹资活动产生的现金流|||
量：|||
吸收投资收到的现金||2,000,000.00|569,607,192.66
其中：子公司吸收少数股东|||
投资收到的现金|||
取得借款收到的现金||93,634,614.65|
收到其他与筹资活动有关的|||
现金|||
