page|94
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||4,275,000.00|
处置交易目的而持有的金融资产净增加额||3,124,252,245.36|4,539,827,122.39
收取利息、手续费及佣金的现金||2,716,446,097.52|2,257,562,525.03
拆入资金净增加额|||5,000,000.00
回购业务资金净增加额|||
返售业务资金净减少额||3,225,544,294.29|
融出资金净减少额|||
代理买卖证券收到的现金净额||2,609,302,485.51|2,260,472,275.87
收到的税费返还||1,134,919.99|461,475.66
收到其他与经营活动有关的现金|六、注释 63|92,265,910.16|376,529,884.19
经营活动现金流入小计||11,773,220,952.83|9,439,853,283.14
购买商品、接受劳务支付的现金||4,409,301.48|3,763,958.20
取得交易目的而持有的金融资产净增加额|||
拆入资金净减少额||400,000,000.00|
回购业务资金净减少额||2,748,438,642.08|1,137,653,202.11
返售业务资金净增加额|||682,865,897.05
融出资金净增加额||1,100,527,412.68|2,294,313,549.66
代理买卖证券支付的现金净额|||
支付利息、手续费及佣金的现金||435,280,838.11|462,026,803.69
支付给职工以及为职工支付的现金||1,026,122,831.18|897,983,312.71
支付的各项税费||192,695,918.08|220,790,776.06
支付其他与经营活动有关的现金|六、注释 63|1,575,363,521.55|1,318,657,286.29
经营活动现金流出小计||7,482,838,465.16|7,018,054,785.77
经营活动产生的现金流量净额||4,290,382,487.67|2,421,798,497.37
二、投资活动产生的现金流量|||
收回投资收到的现金||197,548,367.89|2,108,109,296.83
取得投资收益收到的现金|||130,586,350.68
处置固定资产、无形资产和其他长期资产||512,589.70|173,338.72
|||94
page|95
项目|附注|本期金额|上期金额
收回的现金净额|||
处置子公司及其他营业单位收到的现金净|||
额|||
收到其他与投资活动有关的现金|六、注释 63|5,000,000.00|
投资活动现金流入小计||203,060,957.59|2,238,868,986.23
购建固定资产、无形资产和其他长期资产|||
||93,400,397.17|224,222,621.92
支付的现金|||
投资支付的现金||175,834,695.80|795,776,631.39
取得子公司及其他营业单位支付的现金净|||
|||20,000.00
额|||
支付其他与投资活动有关的现金|六、注释 63|5,000,000.00|
投资活动现金流出小计||274,235,092.97|1,020,019,253.31
投资活动产生的现金流量净额||-71,174,135.38|1,218,849,732.92
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
取得借款收到的现金|||
发行债券收到的现金||4,030,660,000.00|5,307,724,596.00
收到其他与筹资活动有关的现金|六、注释 63||60,000,000.00
筹资活动现金流入小计||4,030,660,000.00|5,367,724,596.00
偿还债务支付的现金||4,743,873,300.00|6,706,668,419.80
分配股利、利润或偿付利息支付的现金||320,979,399.29|366,376,941.42
其中：子公司支付给少数股东的股利、利|||
润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||5,064,852,699.29|7,073,045,361.22
筹资活动产生的现金流量净额||-1,034,192,699.29|-1,705,320,765.22
四、汇率变动对现金及现金等价物的影响||-2,411,713.77|352,836.26
五、现金及现金等价物净增加额||3,182,603,939.23|1,935,680,301.33
加：期初现金及现金等价物余额||8,154,348,020.42|6,218,667,719.09
六、期末现金及现金等价物余额||11,336,951,959.65|8,154,348,020.42
后附财务报表附注为财务报表的组成部分。|||
