page|89
|（除特别注明外，金额单位均为人民币元）|
项目|附注|本期金额 上期金额
一、营业总收入|六、注释 47|2,205,985,257.07   1,669,714,290.97
其中：营业收入|六、注释 47|4,497,054.81   1,350,575.65
利息收入|六、注释 48|789,137,506.62   716,099,061.09
手续费及佣金收入|六、注释 49|1,412,350,695.64   952,264,654.23
二、营业总成本||2,427,653,700.80    2,286,639,466.08
减：营业成本|六、注释 47|4,680,296.28     177,922.13
利息支出|六、注释 48|318,370,827.59   408,150,839.66
手续费及佣金支出|六、注释 49|232,678,053.76   158,163,973.40
税金及附加|六、注释 50|11,500,794.12   9,808,122.53
销售费用||
管理费用|六、注释 51|1,663,630,810.40     1,440,102,274.63
研发费用|六、注释 52|15,718,736.91   20,129,678.10
财务费用|六、注释 53|181,074,181.74   250,106,655.63
其中：利息费用||183,637,347.68   264,951,992.25
利息收入||2,631,275.33   15,114,196.57
加：其他收益|六、注释 54|17,698,113.56   20,440,359.15
投资收益（损失以“-”号填列）|六、注释 55|446,302,665.47   609,793,448.75
其中：对联营企业和合营企业的投资||
||46,486,937.93   186,107,407.76
收益||
以摊余成本计量的金融资产终||
止确认收益||
汇兑损益（损失以“-”号填列）||-1,171,676.74   317,869.61
净敞口套期收益（损失以“-”号填列）||
公允价值变动收益（损失以“-”号填||
|六、注释 56|-254,697,694.16   267,020,505.84
列）||
信用减值损失（损失以“-”号填列）  六、注释 57||-192,534,116.88   -88,590,272.60
资产减值损失（损失以“-”号填列）  六、注释 58||-103,709,412.22   -20,300.00
资产处置收益（损失以“-”号填列）  六、注释 59||31,971.39   3,152.36
三、营业利润（亏损以“-”号填列）||-309,748,593.31   192,039,588.00
page|90
项目|附注|本期金额|上期金额
加：营业外收入|六、注释 60|1,312,021.09|1,995,576.57
减：营业外支出|六、注释 61|17,848,277.54|9,513,296.65
四、利润总额（亏损总额以“-”号填列）||-326,284,849.76|184,521,867.92
减：所得税费用|六、注释 62|40,154,307.51|107,588,522.60
五、净利润（净亏损以“-”号填列）||-366,439,157.27|76,933,345.32
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号|||
||-366,439,157.27|76,933,345.32
填列）|||
2．终止经营净利润（净亏损以“-”号|||
填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏|||
||-365,875,868.24|77,329,597.60
损以“-”号填列）|||
2．少数股东损益（净亏损以“-”号填|||
||-563,289.03|-396,252.28
列）|||
六、其他综合收益的税后净额||-17,061,749.42|21,987,102.45
归属于母公司所有者的其他综合收益的税|||
||-17,061,749.42|21,987,102.45
后净额|||
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收|||
益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-17,061,749.42|21,987,102.45
1．权益法下可转损益的其他综合收益||-1,920,949.45|6,927,223.63
2．其他债权投资公允价值变动||2,299,056.50|7,248,788.22
3．金融资产重分类计入其他综合收益|||
的金额|||
4．其他债权投资信用损失准备||-247,601.32|-296,891.38
5．现金流量套期储备（现金流量套期|||
损益的有效部分）|||
6．外币财务报表折算差额||-17,192,255.15|8,107,981.98
7．其他|||
page|91
项目|附注|本期金额|上期金额
归属于少数股东的其他综合收益的税后净|||
额|||
七、综合收益总额||-383,500,906.69|98,920,447.77
归属于母公司所有者的综合收益总额||-382,937,617.66|99,316,700.05
归属于少数股东的综合收益总额||-563,289.03|-396,252.28
八、每股收益|||
（一）基本每股收益（元/股）||-0.1891|0.0400
（二）稀释每股收益（元/股）||-0.1891|0.0400
后附财务报表附注为财务报表的组成部分。|||
