page|96
项目|附注|2020年度发生额|2019年度发生额 (已重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||162,208,201|146,342,251
收到其他与经营活动有关的现金|七、80(1)|234,889|221,467
经营活动现金流入小计||162,443,090|146,563,718
购买商品、接受劳务支付的现金||115,501,243|102,830,709
支付给职工以及为职工支付的现金||8,368,131|8,279,142
支付的各项税费||12,568,131|12,530,151
支付其他与经营活动有关的现金|七、80(2)|3,373,589|943,105
经营活动现金流出小计||139,811,094|124,583,107
经营活动产生的现金流量净额|七、81(1)|22,631,996|21,980,611
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,315|-
取得投资收益收到的现金||864,709|941,360
处置固定资产、无形资产和其他长期资产收回的现金净额||111,107|73,841
收到的其他与投资活动有关的现金|七、80(3)|3,952,758|5,630,969
投资活动现金流入小计||4,930,889|6,646,170
购建固定资产、无形资产和其他长期资产支付的现金||10,307,323|10,945,537
投资支付的现金||41,786|131,001
支付其他与投资活动有关的现金|七、80(4)|8,824,889|4,226,644
投资活动现金流出小计||19,173,998|15,303,182
投资活动使用的现金流量净额||(14,243,109)|(8,657,012)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||435,909|31,576
其中：子公司吸收少数股东投资收到的现金||435,909|31,576
取得借款收到的现金||36,478,940|20,459,511
发行债券收到的现金||4,995,170|4,983,333
筹资活动现金流入小计||41,910,019|25,474,420
偿还债务支付的现金||40,053,232|27,575,224
分配股利、利润或偿付利息支付的现金||7,138,530|7,166,384
其中：子公司支付给少数股东的股利||489,222|1,120,099
支付其他与筹资活动有关的现金|七、80(6)|193,213|298,884
筹资活动现金流出小计||47,384,975|35,040,492
筹资活动使用的现金流量净额||(5,474,956)|(9,566,072)
四、汇率变动对现金及现金等价物的影响||(10,391)|4,467
五、现金及现金等价物净增加额||2,903,540|3,761,994
加：年初现金及现金等价物余额||12,137,655|8,375,661
六、年末现金及现金等价物余额||15,041,195|12,137,655
