page|58
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||10,719,853,352.08|10,341,799,670.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||28,343,190.25|25,618,812.50
收到其他与经营活动有关的现金|（五十五）|481,907,160.79|367,945,147.85
经营活动现金流入小计||11,230,103,703.12|10,735,363,631.14
购买商品、接受劳务支付的现金||7,796,845,326.16|7,451,514,382.81
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,013,294,378.66|938,910,396.82
支付的各项税费||459,844,002.02|569,766,191.11
支付其他与经营活动有关的现金|（五十五）|971,429,375.15|777,183,123.99
经营活动现金流出小计||10,241,413,081.99|9,737,374,094.73
经营活动产生的现金流量净额||988,690,621.13|997,989,536.41
二、投资活动产生的现金流量：|||
收回投资收到的现金||368,296,256.69|2,342,749,060.28
取得投资收益收到的现金||48,731,922.71|78,940,084.34
处置固定资产、无形资产和其他长期资产收回的现金净额||176,907,315.00|65,884,057.82
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十五）|9,500,000.00|
投资活动现金流入小计||603,435,494.40|2,487,573,202.44
page|59
购建固定资产、无形资产和其他长期资产支付的现金||368,005,153.67|312,898,501.93
投资支付的现金||387,910,148.97|2,384,927,612.38
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十五）|9,500,000.00|
投资活动现金流出小计||765,415,302.64|2,697,826,114.31
投资活动产生的现金流量净额||-161,979,808.24|-210,252,911.87
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||5,118,854,534.93|4,892,262,249.68
收到其他与筹资活动有关的现金||200,000,000.00|
筹资活动现金流入小计||5,318,854,534.93|4,892,262,249.68
偿还债务支付的现金||5,307,908,903.22|4,922,082,022.20
分配股利、利润或偿付利息支付的现金||409,074,217.12|421,398,231.89
其中：子公司支付给少数股东的股利、利润||12,166,298.79|11,858,546.74
支付其他与筹资活动有关的现金||200,000,000.00|13,750,000.00
筹资活动现金流出小计||5,916,983,120.34|5,357,230,254.09
筹资活动产生的现金流量净额||-598,128,585.41|-464,968,004.41
四、汇率变动对现金及现金等价物的影响||2,955,162.68|721,355.56
五、现金及现金等价物净增加额||231,537,390.16|323,489,975.69
加：期初现金及现金等价物余额||1,287,725,614.97|964,235,639.28
六、期末现金及现金等价物余额||1,519,263,005.13|1,287,725,614.97
