page|55
项目|附注五|2019 年度|2018 年度
一、营业总收入||9,210,963,560.33|9,009,856,257.37
其中：营业收入|（四十）|9,210,963,560.33|9,009,856,257.37
利息收入|||
已赚保费|||
page|56
手续费及佣金收入|||
二、营业总成本||8,750,058,393.59|8,658,229,308.38
其中：营业成本|（四十）|7,350,875,302.45|7,310,546,242.61
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十一）|73,079,382.54|81,355,450.41
销售费用|（四十二）|415,607,293.37|370,265,041.40
管理费用|（四十三）|585,014,919.68|561,984,233.20
研发费用|（四十四）|178,046,706.69|159,205,676.67
财务费用|（四十五）|147,434,788.86|174,872,664.09
其中：利息费用||169,487,252.53|181,500,679.65
利息收入||27,180,846.70|10,522,894.47
加：其他收益|（四十六）|40,926,328.49|33,688,792.31
投资收益（损失以“－”号填列）|（四十七）|61,262,121.75|209,350,442.40
其中：对联营企业和合营企业的投资收益||34,294,971.90|24,333,506.32
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（四十八）|-9,090,993.58|-598,033.60
信用减值损失（损失以“-”号填列）|（四十九）|-4,640,311.69|
资产减值损失（损失以“-”号填列）|（五十）|-4,581,626.44|-30,690,273.98
资产处置收益（损失以“－”号填列）|（五十一）|65,269,481.77|-8,886,611.49
三、营业利润（亏损以“－”号填列）||610,050,167.04|554,491,264.63
加：营业外收入|（五十二）|2,906,818.48|6,998,050.91
减：营业外支出|（五十三）|18,374,935.88|9,405,127.25
四、利润总额（亏损总额以“－”号填列）||594,582,049.64|552,084,188.29
减：所得税费用|（五十四）|74,709,138.16|98,861,697.14
五、净利润（净亏损以“－”号填列）||519,872,911.48|453,222,491.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||519,872,911.48|453,222,491.15
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||494,198,437.20|432,742,261.14
2.少数股东损益（净亏损以“-”号填列）||25,674,474.28|20,480,230.01
六、其他综合收益的税后净额||8,065,897.27|-197,714.20
（一）归属母公司所有者的其他综合收益的税后净额||7,761,787.27|-197,714.20
1．不能重分类进损益的其他综合收益||12,445,890.00|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||12,445,890.00|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-4,684,102.73|-197,714.20
（1）权益法下可转损益的其他综合收益||-4,684,102.73|-197,714.20
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
page|57
（二）归属于少数股东的其他综合收益的税后净额||304,110.00|
七、综合收益总额||527,938,808.75|453,024,776.95
（一）归属于母公司所有者的综合收益总额||501,960,224.47|432,544,546.94
（二）归属于少数股东的综合收益总额||25,978,584.28|20,480,230.01
八、每股收益：|||
（一）基本每股收益(元/股)||0.326|0.285
（二）稀释每股收益(元/股)||0.326|0.285
