page|52
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|（一）|1,578,786,748.46|1,327,654,747.56
结算备付金|||
拆出资金|||
交易性金融资产|（二）|6,113,710.40|
以公允价值计量且其变动计入当期损益的金融资产|（三）||4,833,746.40
衍生金融资产|||
应收票据|（四）|21,921,666.05|60,872,266.70
应收账款|（五）|1,442,312,758.39|1,485,574,273.90
应收款项融资|（六）|142,866,704.47|
预付款项|（七）|261,395,095.29|225,867,963.73
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|115,766,707.94|110,499,433.95
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|（九）|1,813,104,774.29|1,823,133,780.31
持有待售资产|（十）|4,737,119.79|
一年内到期的非流动资产|||9,500,000.00
其他流动资产|（十一）|125,184,391.96|119,087,910.00
流动资产合计||5,512,189,677.04|5,167,024,122.55
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|（十二）||1,108,658,844.36
其他债权投资|（十三）||
持有至到期投资|||
长期应收款|（十三）|15,549,322.93|
长期股权投资|（十四）|336,139,130.21|291,300,571.77
其他权益工具投资|（十五）|1,183,000,000.00|
其他非流动金融资产|（十六）|146,334,088.46|
投资性房地产|（十七）|189,308,981.13|181,091,747.56
固定资产|（十八）|2,792,822,266.06|2,942,396,514.38
在建工程|（十九）|128,649,585.65|211,838,764.87
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十）|214,963,302.99|223,303,784.20
开发支出|||
商誉|（二十一）|144,660,795.19|144,660,795.19
长期待摊费用|（二十二）|52,097,802.84|63,794,091.23
递延所得税资产|（二十三）|38,419,680.52|26,678,053.33
其他非流动资产|（二十四）|27,019,529.30|13,567,617.47
非流动资产合计||5,268,964,485.28|5,207,290,784.36
资产总计||10,781,154,162.32|10,374,314,906.91
流动负债：|||
page|53
短期借款|（二十五）|3,035,423,493.34|3,316,938,450.34
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|（二十六）|313,161,835.55|271,784,133.97
应付账款|（二十七）|856,048,202.61|882,484,777.18
预收款项|（二十八）|214,635,531.39|266,967,747.48
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（二十九）|106,746,232.47|85,224,738.12
应交税费|（三十）|71,681,519.55|81,097,993.48
其他应付款|（三十一）|210,413,346.68|195,836,905.35
其中：应付利息|||6,290,163.17
应付股利||87,018.39|87,018.39
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|（三十二）|72,523,095.03|
流动负债合计||4,880,633,256.62|5,100,334,745.92
非流动负债：|||
保险合同准备金|||
长期借款|（三十三）|592,193,862.67|493,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|（三十四）|38,117,599.85|41,051,146.03
递延所得税负债|（二十三）|103,180,362.14|35,682,193.53
其他非流动负债|||
非流动负债合计||733,491,824.66|569,733,339.56
负债合计||5,614,125,081.28|5,670,068,085.48
所有者权益（或股东权益）：|||
实收资本（或股本）|（三十五）|1,516,736,158.00|1,516,736,158.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（三十六）|361,783,918.82|361,695,252.15
减：库存股|||
其他综合收益|（三十七）|152,648,737.30|-197,714.20
专项储备|||
盈余公积|（三十八）|598,498,422.62|565,456,023.19
一般风险准备|||
未分配利润|（三十九）|2,288,002,467.29|2,025,435,777.85
归属于母公司所有者权益（或股东权益）合计||4,917,669,704.03|4,469,125,496.99
少数股东权益||249,359,377.01|235,121,324.44
page|54
所有者权益（或股东权益）合计||5,167,029,081.04|4,704,246,821.43
负债和所有者权益（或股东权益）总计||10,781,154,162.32|10,374,314,906.91
