page|131
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|5,227,242,858.56|5,760,604,147.14
交易性金融资产|2|1,701,637,915.47|2,125,333,652.33
衍生金融资产|3|36,755,179.22|37,053,847.99
应收票据|4|24,734,692.87|2,708,500.00
应收账款|5|2,936,543,068.55|1,994,688,445.37
预付款项|7|92,158,061.18|78,279,297.10
其他应收款|8|30,891,335.36|89,329,521.77
其中：应收利息||5,229,133.59|1,297,144.52
应收股利||-|-
存货|9|1,742,485,452.79|952,473,377.38
合同资产|10|379,395,934.04|384,530,263.19
其他流动资产|13|491,189,419.80|381,600,095.06
流动资产合计||12,663,033,917.84|11,806,601,147.33
非流动资产：|||
长期股权投资|17|793,506,346.91|655,557,675.24
其他非流动金融资产|19|4,009,081,069.57|2,079,310,692.63
固定资产|21|4,332,721,080.60|3,491,176,791.95
在建工程|22|2,091,667,072.04|1,526,983,398.38
生产性生物资产|23|360,253,830.00|-
使用权资产|25|1,142,274,258.81|-
无形资产|26|918,038,106.73|626,492,472.61
商誉|28|1,362,176,212.72|1,144,075,895.78
长期待摊费用|29|1,253,832,614.95|1,039,582,358.15
递延所得税资产|30|262,215,448.66|250,174,757.91
其他非流动资产|31|50,334,411.99|47,246,710.83
非流动资产合计||16,576,100,452.98|10,860,600,753.48
资产总计||29,239,134,370.82|22,667,201,900.81
流动负债：|||
短期借款|32|1,604,257,325.12|120,000,000.00
交易性金融负债|33|19,498,803.04|-
衍生金融负债|34|86,378,137.81|153,292,270.18
应付票据|35|19,089,888.52|19,362,968.27
page|132
应付账款|36|573,097,931.92|379,361,422.80
合同负债|38|897,139,905.65|681,863,412.40
应付职工薪酬|39|758,376,758.94|548,388,970.23
应交税费|40|281,846,421.04|203,924,217.76
其他应付款|41|2,045,666,329.43|1,418,046,171.41
其中：应付利息||5,325,095.60|166,055.54
应付股利||-|-
一年内到期的非流动负债|43|348,097,143.48|234,808,155.17
其他流动负债|44|937,799.03|3,010,136.90
流动负债合计||6,634,386,443.98|3,762,057,725.12
非流动负债：|||
长期借款|45|762,400,000.00|15,000,000.00
应付债券|46|1,874,914,616.22|-
其中：优先股||-|-
永续债||-|-
租赁负债|47|1,104,688,525.91|-
递延收益|51|667,382,398.75|418,842,935.80
递延所得税负债|30|231,097,542.54|111,747,212.22
其他非流动负债|52|554,554,757.31|194,323,218.12
非流动负债合计||5,195,037,840.73|739,913,366.14
负债合计||11,829,424,284.71|4,501,971,091.26
所有者权益（或股东权益）：|||
实收资本（或股本）|53|1,651,126,531.00|1,164,741,086.00
资本公积|55|10,287,644,187.17|11,977,422,142.52
减：库存股|56|705,816,790.55|285,988,954.90
其他综合收益|57|156,245,363.37|56,291,730.54
盈余公积|59|146,215,359.82|87,709,227.10
未分配利润|60|5,776,840,758.26|4,687,845,590.02
归属于母公司所有者权益（或股东权益）合计||17,312,255,409.07|17,688,020,821.28
少数股东权益||97,454,677.04|477,209,988.27
所有者权益（或股东权益）合计||17,409,710,086.11|18,165,230,809.55
负债和所有者权益（或股东权益）总计||29,239,134,370.82|22,667,201,900.81
