page|137
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||12,475,873,299.32|9,269,734,027.47
收到的税费返还||341,062,694.23|297,228,154.12
收到其他与经营活动有关的现金|78(1)|519,327,138.38|261,250,599.38
经营活动现金流入小计||13,336,263,131.93|9,828,212,780.97
购买商品、接受劳务支付的现金||4,608,711,478.17|3,858,240,969.91
支付给职工及为职工支付的现金||4,305,138,591.87|2,778,229,440.80
支付的各项税费||463,298,266.44|488,048,753.77
支付其他与经营活动有关的现金|78(2)|1,043,082,482.75|1,063,265,852.49
经营活动现金流出小计||10,420,230,819.23|8,187,785,016.97
经营活动产生的现金流量净额||2,916,032,312.70|1,640,427,764.00
二、投资活动产生的现金流量：|||
page|138
收回投资收到的现金||554,782,822.76|79,949,369.03
取得投资收益收到的现金||118,318,229.02|104,855,338.74
处置固定资产、无形资产和其他长期资产收回的现金净额||15,845,734.61|9,468,759.56
处置子公司及其他营业单位收到的现金净额||-|23,788,656.80
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||688,946,786.39|218,062,124.13
购建固定资产、无形资产和其他长期资产支付的现金||2,531,798,710.91|2,248,894,565.09
投资支付的现金||2,347,173,129.76|3,122,107,938.42
取得子公司及其他营业单位支付的现金净额||784,773,261.70|123,721,526.13
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||5,663,745,102.37|5,494,724,029.64
投资活动产生的现金流量净额||-4,974,798,315.98|-5,276,661,905.51
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||769,301,649.65|9,252,063,612.64
其中：子公司吸收少数股东投资收到的现金||25,671,183.02|25,865,703.16
取得借款收到的现金||2,847,936,329.76|1,465,529,600.00
发行债券收到的现金||2,079,462,000.00|-
收到其他与筹资活动有关的现金||-|-
筹资活动现金流入小计||5,696,699,979.41|10,717,593,212.64
偿还债务支付的现||417,000,000.00|2,983,584,000.00
page|139
金|||
分配股利、利润或偿付利息支付的现金||730,477,417.14|102,552,721.19
其中：子公司支付给少数股东的股利、利润||-|19,205,387.83
支付其他与筹资活动有关的现金|78(6)|2,991,361,809.62|647,296,932.65
筹资活动现金流出小计||4,138,839,226.76|3,733,433,653.84
筹资活动产生的现金流量净额||1,557,860,752.65|6,984,159,558.80
四、汇率变动对现金及现金等价物的影响||-33,492,671.03|-56,378,440.56
五、现金及现金等价物净增加额||-534,397,921.66|3,291,546,976.73
加：期初现金及现金等价物余额||5,757,690,780.22|2,466,143,803.49
六、期末现金及现金等价物余额||5,223,292,858.56|5,757,690,780.22
