page|134
项目|附注七|2019 年度|2018 年度
一、营业总收入||12,872,206,437.16|9,613,683,593.04
其中：营业收入|61|12,872,206,437.16|9,613,683,593.04
二、营业总成本||10,421,694,944.56|7,810,965,860.22
其中：营业成本|61|7,858,299,235.34|5,820,982,800.87
税金及附加|62|28,156,413.21|28,559,730.15
销售费用|63|438,539,742.66|337,878,418.63
管理费用|64|1,482,349,962.10|1,130,801,641.40
研发费用|65|590,388,701.80|436,533,351.58
财务费用|66|23,960,889.45|56,209,917.59
其中：利息费用||82,337,500.13|92,407,269.52
利息收入||88,209,270.10|12,194,265.20
加：其他收益|67|146,219,381.65|107,112,954.02
投资收益（损失以“－”号填列）|68|47,547,344.27|79,636,460.57
其中：对联营企业和合营企业的投资收益||-20,717,171.60|76,830,047.52
公允价值变动收益（损失以“－”号填列）|70|-259,256,661.49|606,436,803.99
信用减值损失（损失以“-”号填列）|71|-43,165,168.85|-10,521,236.83
资产减值损失（损失以“-”号填列）|72|-1,433,429.40|-2,010,972.63
资产处置收益（损失以“－”号填列）|73|501,444.18|1,331,537.06
三、营业利润（亏损以“－”号填列）||2,340,924,402.96|2,584,703,279.00
加：营业外收入|74|6,654,145.52|10,087,071.98
page|135
减：营业外支出|75|10,610,024.52|13,966,369.55
四、利润总额（亏损总额以“－”号填列）||2,336,968,523.96|2,580,823,981.43
减：所得税费用|76|425,559,156.09|247,143,253.13
五、净利润（净亏损以“－”号填列）||1,911,409,367.87|2,333,680,728.30
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,911,409,367.87|2,333,680,728.30
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,854,550,934.58|2,260,523,106.21
2.少数股东损益（净亏损以“-”号填列）||56,858,433.29|73,157,622.09
六、其他综合收益的税后净额|77|108,824,578.24|1,219,403.75
（一）归属母公司所有者的其他综合收益的税后净额||99,953,632.83|7,203,689.55
1．不能重分类进损益的其他综合收益||-|-
2．将重分类进损益的其他综合收益||99,953,632.83|7,203,689.55
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）可供出售金融资产公允价值变动损益||-|-
（4）金融资产重分类计入其他综合收益的金额||-|-
（5）持有至到期投资重分类为可供出售金融资产损益||-|-
（6）其他债权投资信用减值准备||-|-
（7）现金流量套期储备（现金流量套期损益的有效部分）||55,194,811.10|-79,646,100.83
（8）外币财务报表折算差额||44,758,821.73|86,849,790.38
（9）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||8,870,945.41|-5,984,285.80
七、综合收益总额||2,020,233,946.11|2,334,900,132.05
（一）归属于母公司所有者的||1,954,504,567.41|2,267,726,795.76
page|136
综合收益总额|||
（二）归属于少数股东的综合收益总额||65,729,378.70|67,173,336.29
八、每股收益：|||
（一）基本每股收益(元/股)||1.14|1.59
（二）稀释每股收益(元/股)||1.12|1.58
