page|85
|附注|2020 年|2019 年
一、  经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,718,448,831.06|5,553,659,816.98
收到的税费返还||369,711,529.07|117,791,640.19
收到其他与经营活动有关的现金|五、51(1)|48,856,299.73|40,865,679.54
经营活动现金流入小计||8,137,016,659.86|5,712,317,136.71
购买商品、接受劳务支付的现金||5,420,143,258.20|3,724,153,501.47
支付给职工以及为职工支付的现金||642,174,779.34|466,155,917.26
支付的各项税费||390,179,054.32|324,482,585.34
支付其他与经营活动有关的现金|五、51(2)|1,496,718,461.62|814,109,319.30
经营活动现金流出小计||7,949,215,553.48|5,328,901,323.37
经营活动产生的现金流量净额|五、52(1)|187,801,106.38|383,415,813.34
二、  投资活动产生的现金流量：|||
收回投资收到的现金||12,002,653.20|27,713,000.00
取得投资收益收到的现金||59,896,862.56|8,583,466.19
处置固定资产和无形资产收回的现金净额||98,128.15|28,989.07
处置子公司及其他营业单位收到的现金净额||-|125,406.65
收到其他与投资活动有关的现金|五、51(3)|7,167,423,008.53|1,915,773,200.16
投资活动现金流入小计||7,239,420,652.44|1,952,224,062.07
page|86
|附注|2020 年|2019 年
二、  投资活动产生的现金流量  (续)：|||
购建固定资产和无形资产支付的现金||30,234,186.94|28,312,958.28
投资支付的现金||19,012,087.41|-
支付其他与投资活动有关的现金|五、51(4)|10,182,974,546.11|1,915,773,200.16
投资活动现金流出小计||10,232,220,820.46|1,944,086,158.44
投资活动  (使用) /  产生的现金流量净额||(2,992,800,168.02)|8,137,903.63
三、  筹资活动产生的现金流量：|||
吸收投资收到的现金||2,575,685,344.05|-
其中：子公司吸收少数股东投资收到的现金||1,500,000.00|-
取得借款收到的现金||234,166,380.00|34,495,020.96
发行债券收到的现金||13,010,600.00|-
筹资活动现金流入小计||2,822,862,324.05|34,495,020.96
偿还债务支付的现金||114,782,486.61|20,253,809.62
分配股利、利润或偿付利息支付的现金||2,360,892.65|137,421,109.09
支付其他与筹资活动有关的现金|五、51(5)|8,802,136.40|13,201,683.84
筹资活动现金流出小计||125,945,515.66|170,876,602.55
筹资活动产生  / (使用)  的现金流量净额||2,696,916,808.39|(136,381,581.59)
page|87
|附注|2020 年|2019 年
四、  汇率变动对现金及现金等价物的 影响||(53,605,155.41)|15,109,672.32
五、  现金及现金等价物净  (减少) /  增加额|五、52(1)|(161,687,408.66)|270,281,807.70
加：年初现金及现金等价物余额||865,807,596.19|595,525,788.49
六、  年末现金及现金等价物余额|五、52(2)|704,120,187.53|865,807,596.19
