page|102
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||354,291,336.49|213,490,003.53
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||12,173,587.05|16,268,269.34
收到其他与经营活动有关的现金|（四十六）|4,784,580.00|6,020,754.54
经营活动现金流入小计||371,249,503.54|235,779,027.41
购买商品、接受劳务支付的现金||126,057,774.62|65,807,636.97
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||102,673,524.95|84,912,875.92
支付的各项税费||28,423,691.34|36,515,790.48
支付其他与经营活动有关的现金|（四十六）|46,151,109.17|27,087,964.55
经营活动现金流出小计||303,306,100.08|214,324,267.92
经营活动产生的现金流量净额|（四十七）|67,943,403.46|21,454,759.49
二、投资活动产生的现金流量|||
收回投资收到的现金||2,000,000.00|290,000,000.00
取得投资收益收到的现金||66,304.10|6,307,775.07
处置固定资产、无形资产和其他长期资产收回的现金净额||2,240.42|5,364.90
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（四十六）|325,280.17|
投资活动现金流入小计||2,393,824.69|296,313,139.97
购建固定资产、无形资产和其他长期资产支付的现金||94,741,829.34|77,917,161.09
投资支付的现金||28,000,000.00|29,280,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||122,741,829.34|107,197,161.09
投资活动产生的现金流量净额||-120,348,004.65|189,115,978.88
三、筹资活动产生的现金流量|||
吸收投资收到的现金||9,685,736.88|1,100,800.00
其中：子公司吸收少数股东投资收到的现金|||
page|103
项目|附注五|本期金额|上期金额
取得借款收到的现金||9,900,000.00|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||19,585,736.88|1,100,800.00
偿还债务支付的现金||2,000,000.00|
分配股利、利润或偿付利息支付的现金||25,205,486.56|25,225,500.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十六）|35,649,829.35|4,031,094.63
筹资活动现金流出小计||62,855,315.91|29,256,594.63
筹资活动产生的现金流量净额||-43,269,579.03|-28,155,794.63
四、汇率变动对现金及现金等价物的影响||226,384.72|194,286.43
五、现金及现金等价物净增加额||-95,447,795.50|182,609,230.17
加：期初现金及现金等价物余额||218,078,223.57|35,468,993.40
六、期末现金及现金等价物余额||122,630,428.07|218,078,223.57
