page|98
项目|附注五|本期金额|上期金额
一、营业总收入||324,798,323.54|249,166,052.73
其中：营业收入|（三十三）|324,798,323.54|249,166,052.73
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||284,132,390.37|197,075,561.50
其中：营业成本|（三十三）|121,001,150.55|74,778,311.76
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十四）|2,295,987.92|2,500,412.08
销售费用|（三十五）|55,977,593.94|47,849,512.69
管理费用|（三十六）|58,043,907.24|37,457,616.52
研发费用|（三十七）|47,565,019.53|36,906,871.31
财务费用|（三十八）|-751,268.81|-2,417,162.86
其中：利息费用|（三十八）|274,213.13|
利息收入|（三十八）|1,187,823.04|2,486,111.70
加：其他收益|（三十九）|12,302,087.29|16,268,269.34
投资收益（损失以“-”号填列）|（四十）|17,705,374.67|4,767,644.46
其中：对联营企业和合营企业的投资收益|（四十）|17,639,070.57|703,952.71
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|（四十一）|-4,425,070.12|
资产减值损失（损失以“-”号填列）|（四十二）||-4,595,491.17
资产处置收益（损失以“-”号填列）|||
三、营业利润（亏损以“-”号填列）||66,248,325.01|68,530,913.86
加：营业外收入|（四十三）|7,444,797.13|5,105,595.58
减：营业外支出|（四十四）|281,231.32|1,105.32
四、利润总额（亏损总额以“-”号填列）||73,411,890.82|73,635,404.12
减：所得税费用|（四十五）|443,873.91|7,061,305.29
五、净利润（净亏损以“-”号填列）||72,968,016.91|66,574,098.83
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||72,968,016.91|66,574,098.83
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||68,454,202.08|65,547,284.73
2．少数股东损益（净亏损以“-”号填列）||4,513,814.83|1,026,814.10
六、其他综合收益的税后净额||13,132,585.69|179,236.12
归属于母公司所有者的其他综合收益的税后净额||13,132,585.69|179,236.12
（一）不能重分类进损益的其他综合收益||12,725,000.00|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||12,725,000.00|
4．企业自身信用风险公允价值变动|||
page|99
项目|附注五|本期金额|上期金额
（二）将重分类进损益的其他综合收益||407,585.69|179,236.12
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额||407,585.69|179,236.12
9．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||86,100,602.60|66,753,334.95
归属于母公司所有者的综合收益总额||81,586,787.77|65,726,520.85
归属于少数股东的综合收益总额||4,513,814.83|1,026,814.10
八、每股收益：|||
（一）基本每股收益（元/股）||0.68|0.65
（二）稀释每股收益（元/股）||0.67|0.64
