page|43
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||596,087,003.79|534,483,163.47
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,293,780.22|2,503,523.00
收到其他与经营活动有关的现金|（五十三）|9,361,700.02|34,523,121.56
经营活动现金流入小计||606,742,484.03|571,509,808.03
购买商品、接受劳务支付的现金||445,442,679.22|425,045,466.10
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||76,967,572.54|94,350,709.94
支付的各项税费||19,999,921.86|14,034,434.62
支付其他与经营活动有关的现金|（五十三）|54,971,592.14|28,115,721.55
经营活动现金流出小计||597,381,765.76|561,546,332.21
经营活动产生的现金流量净额||9,360,718.27|9,963,475.82
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,848,287.73|148,743,554.88
取得投资收益收到的现金||1,094,925.89|610,197.00
处置固定资产、无形资产和其他长期资产收回的现金净额||4,713,675.94|1,644,840.26
处置子公司及其他营业单位收到的现金净额|||
page|44
收到其他与投资活动有关的现金|||
投资活动现金流入小计||8,656,889.56|150,998,592.14
购建固定资产、无形资产和其他长期资产支付的现金||69,981,937.19|30,288,335.51
投资支付的现金||23,610,628.00|132,762,557.98
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||93,592,565.19|163,050,893.49
投资活动产生的现金流量净额||-84,935,675.63|-12,052,301.35
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||51,000,000.00|
其中：子公司吸收少数股东投资收到的现金||51,000,000.00|
取得借款收到的现金||40,000,000.00|155,000,000.00
收到其他与筹资活动有关的现金|（五十三）|43,130,110.00|100,000,000.00
筹资活动现金流入小计||134,130,110.00|255,000,000.00
偿还债务支付的现金||117,000,000.00|174,000,000.00
分配股利、利润或偿付利息支付的现金||22,471,907.25|7,820,010.78
其中：子公司支付给少数股东的股利、利润|||47,306.00
支付其他与筹资活动有关的现金|（五十三）|36,786,313.16|17,997,045.47
筹资活动现金流出小计||176,258,220.41|199,817,056.25
筹资活动产生的现金流量净额||-42,128,110.41|55,182,943.75
四、汇率变动对现金及现金等价物的影响||286,471.13|1,801,875.93
五、现金及现金等价物净增加额||-117,416,596.64|54,895,994.15
加：期初现金及现金等价物余额||172,646,235.70|117,750,241.55
六、期末现金及现金等价物余额||55,229,639.06|172,646,235.70
