page|70
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,387,228,615.89|7,827,771,846.74
客户存款和同业存放款项净增加额||269,429,611.07|
客户贷款及垫款净减少额||281,871,394.43|8,500,000.00
存放中央银行和同业款项净减少额|||28,492,631.24
买入返售金融资产净增加额|||1,150,000,000.00
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||68,002,052.23|64,306,334.16
page|71
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||365,382,940.25|375,970,369.04
收到其他与经营活动有关的现金||863,996,841.35|787,769,245.13
经营活动现金流入小计||13,235,911,455.22|10,242,810,426.31
购买商品、接受劳务支付的现金||6,702,426,219.54|9,572,289,583.37
客户贷款及垫款净增加额|||
客户存款和同业存放款项净减少额|||144,316,503.21
存放中央银行和同业款项净增加额||194,114,664.95|
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||12,645,635.00|19,786,864.40
支付保单红利的现金|||
支付给职工及为职工支付的现金||835,932,180.37|883,234,046.61
支付的各项税费||608,190,907.03|815,504,218.11
支付其他与经营活动有关的现金||698,297,505.57|1,061,873,426.80
经营活动现金流出小计||9,051,607,112.46|12,497,004,642.50
经营活动产生的现金流量净额||4,184,304,342.76|-2,254,194,216.19
二、投资活动产生的现金流量：|||
收回投资收到的现金||458,567.29|25,000,000.00
取得投资收益收到的现金||35,932,183.00|44,565,599.94
处置固定资产、无形资产和其他长期资产收回的现金净额||1,563,039.41|6,463,975.18
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||730,431,255.75|371,160,000.00
投资活动现金流入小计||768,385,045.45|447,189,575.12
购建固定资产、无形资产和其他长期资产支付的现金||198,129,970.69|225,923,231.78
投资支付的现金||283,000,000.00|278,257,659.68
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||649,046,305.65|95,942,870.38
投资活动现金流出小计||1,130,176,276.34|600,123,761.84
投资活动产生的现金流量净额||-361,791,230.89|-152,934,186.72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||12,622,323,760.90|16,842,424,417.34
收到其他与筹资活动有关的现金|||1,000,000.00
筹资活动现金流入小计||12,622,323,760.90|16,843,424,417.34
偿还债务支付的现金||11,295,590,265.70|12,463,947,402.28
分配股利、利润或偿付利息支付的现金||920,179,641.04|782,161,517.52
page|72
其中：子公司支付给少数股东的股利、利润||62,120,734.04|76,638,416.48
支付其他与筹资活动有关的现金||64,616,307.65|979,731,744.55
筹资活动现金流出小计||12,280,386,214.39|14,225,840,664.35
筹资活动产生的现金流量净额||341,937,546.51|2,617,583,752.99
四、汇率变动对现金及现金等价物的影响||-4,948,924.63|3,145,250.75
五、现金及现金等价物净增加额||4,159,501,733.75|213,600,600.83
加：期初现金及现金等价物余额||1,661,308,113.43|1,447,707,512.60
六、期末现金及现金等价物余额||5,820,809,847.18|1,661,308,113.43
