page|85
项目|附注五|本期金额|上期金额
一、营业总收入||235,981,035,684.68|194,555,491,400.61
其中：营业收入|（四十一）|235,933,564,582.09|194,513,842,492.17
利息收入||36,720,901.60|37,143,060.15
已赚保费|||
手续费及佣金收入||10,750,200.99|4,505,848.29
二、营业总成本||188,841,883,128.17|159,494,416,408.30
其中：营业成本|（四十一）|153,449,636,272.28|131,338,798,272.80
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十二）|21,840,553,947.35|16,122,367,869.58
销售费用|（四十三）|6,680,664,007.67|5,912,207,338.98
管理费用|（四十四）|4,233,044,430.65|3,495,447,619.23
研发费用|（四十五）|56,258,733.08|40,945,036.39
财务费用|（四十六）|2,581,725,737.14|2,584,650,271.32
其中：利息费用||4,604,619,675.42|4,522,064,368.78
利息收入||2,253,182,383.68|2,413,486,457.49
加：其他收益|（四十七）|49,246,320.92|1,888,382.77
投资收益（损失以“-”号填列）|（四十八）|3,701,586,708.22|2,689,748,518.50
其中：对联营企业和合营企业的投资收益||3,503,395,402.11|1,901,904,241.26
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十九）|712,897,272.34|190,424,456.43
信用减值损失（损失以“-”号填列）|（五十）|-154,453,391.61|
资产减值损失（损失以“-”号填列）|（五十一）|-1,047,843,355.70|-2,351,038,928.99
资产处置收益（损失以“-”号填列）|（五十二）|1,691,507.08|538,417.42
三、营业利润（亏损以“-”号填列）||50,402,277,617.76|35,592,635,838.44
加：营业外收入|（五十三）|352,599,232.60|366,177,033.47
减：营业外支出|（五十四）|224,161,123.61|178,512,775.91
四、利润总额（亏损总额以“-”号填列）||50,530,715,726.75|35,780,300,096.00
减：所得税费用|（五十五）|12,976,749,482.07|9,631,163,525.49
五、净利润（净亏损以“-”号填列）||37,553,966,244.68|26,149,136,570.51
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||37,553,966,244.68|26,149,136,570.51
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||27,959,019,793.11|18,903,715,264.07
2．少数股东损益（净亏损以“-”号填列）||9,594,946,451.57|7,245,421,306.44
六、其他综合收益的税后净额||68,307,015.91|-104,613,107.82
归属于母公司所有者的其他综合收益的税后净额||68,288,542.99|-104,613,107.82
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||68,288,542.99|-104,613,107.82
1．权益法下可转损益的其他综合收益||-27,515,419.66|-48,361,673.77
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||-58,737,031.96
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）||-52,986,511.67|68,210,747.80
8．外币财务报表折算差额||148,790,474.32|-65,725,149.89
9．其他|||
归属于少数股东的其他综合收益的税后净额||18,472.92|
七、综合收益总额||37,622,273,260.59|26,044,523,462.69
归属于母公司所有者的综合收益总额||28,027,308,336.10|18,799,102,156.25
归属于少数股东的综合收益总额||9,594,964,924.49|7,245,421,306.44
八、每股收益：|||
（一）基本每股收益（元/股）||2.35|1.59
（二）稀释每股收益（元/股）||2.35|1.59
