page|87
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||282,038,772,413.60|269,776,663,593.87
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||50,916,014.94|43,189,423.06
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（五十六）|70,962,535,748.16|41,315,070,876.00
经营活动现金流入小计||353,052,224,176.70|311,134,923,892.93
购买商品、接受劳务支付的现金||202,254,949,464.68|143,823,247,765.55
客户贷款及垫款净增加额||175,499,692.22|-88,794,185.53
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||7,598,363,241.25|6,344,803,133.56
支付的各项税费||44,658,834,065.39|37,570,308,192.91
支付其他与经营活动有关的现金|（五十六）|59,209,261,978.06|111,592,037,626.80
经营活动现金流出小计||313,896,908,441.60|299,241,602,533.29
经营活动产生的现金流量净额||39,155,315,735.10|11,893,321,359.64
二、投资活动产生的现金流量|||
收回投资收到的现金||403,396,957.94|292,245,309.85
取得投资收益收到的现金||342,920,650.97|1,196,079,087.10
处置固定资产、无形资产和其他长期资产收回的现金净额||11,947,153.51|8,874,808.98
处置子公司及其他营业单位收到的现金净额||43,400,486.61|1,654,988,224.72
收到其他与投资活动有关的现金|（五十六）|1,350,537,360.68|1,372,669,231.74
投资活动现金流入小计||2,152,202,609.71|4,524,856,662.39
购建固定资产、无形资产和其他长期资产支付的现金||279,118,973.00|603,849,607.34
投资支付的现金||11,473,220,095.04|14,712,486,991.25
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||733,676,714.00|1,254,000,041.27
支付其他与投资活动有关的现金|（五十六）|164,561,694.43|1,413,693,606.48
投资活动现金流出小计||12,650,577,476.47|17,984,030,246.34
投资活动产生的现金流量净额||-10,498,374,866.76|-13,459,173,583.95
三、筹资活动产生的现金流量|||
吸收投资收到的现金||18,042,299,305.01|12,782,676,456.52
其中：子公司吸收少数股东投资收到的现金||8,607,063,981.82|10,958,990,103.51
取得借款收到的现金||102,417,950,351.47|139,838,305,626.56
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||120,460,249,656.48|152,620,982,083.08
偿还债务支付的现金||98,288,877,836.14|82,752,145,046.58
分配股利、利润或偿付利息支付的现金||23,328,868,240.95|21,400,546,729.46
其中：子公司支付给少数股东的股利、利润||2,187,267,045.39|2,667,132,756.58
支付其他与筹资活动有关的现金|（五十六）|1,677,154,660.38|1,970,536,839.89
筹资活动现金流出小计||123,294,900,737.47|106,123,228,615.93
筹资活动产生的现金流量净额||-2,834,651,080.99|46,497,753,467.15
四、汇率变动对现金及现金等价物的影响||76,351,261.93|160,892,118.07
五、现金及现金等价物净增加额||25,898,641,049.28|45,092,793,360.91
加：期初现金及现金等价物余额||113,075,637,451.94|67,982,844,091.03
六、期末现金及现金等价物余额||138,974,278,501.22|113,075,637,451.94
