page|95
项目|附注五|本期金额|上期金额
一、营业总收入||2,216,002,596.15|2,980,356,543.25
其中：营业收入|(四十)|2,216,002,596.15|2,980,356,543.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,547,869,024.97|3,291,103,891.93
其中：营业成本|(四十)|2,013,087,021.70|2,557,329,517.51
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|(四十一)|25,136,617.09|33,567,325.70
销售费用|(四十二)|78,991,005.76|170,787,287.00
管理费用|(四十三)|401,674,789.57|357,418,838.00
研发费用|(四十四)|71,260,374.86|94,059,118.74
财务费用|(四十五)|-42,280,784.01|77,941,804.98
其中：利息费用||670,143.63|92,431,440.38
利息收入||9,247,576.17|11,747,642.94
加：其他收益|(四十六)|81,471,310.45|116,698,413.44
投资收益（损失以“-”号填列）|(四十七)|-21,200,055.79|1,180,434,222.59
其中：对联营企业和合营企业的投资收益||-19,920,116.15|758,208,552.75
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|(四十八)|-80,063,085.07|-85,362,219.28
资产减值损失（损失以“-”号填列）|(四十九)|-423,849,290.47|-768,916,819.41
资产处置收益（损失以“-”号填列）|(五十)|-2,328,432.59|157,917,453.66
三、营业利润（亏损以“-”号填列）||-777,835,982.29|290,023,702.32
加：营业外收入|(五十一)|277,624,738.43|4,025,350.20
减：营业外支出|(五十二)|83,427,895.09|41,665,721.41
四、利润总额（亏损总额以“-”号填列）||-583,639,138.95|252,383,331.11
减：所得税费用|(五十三)|18,843,860.33|-4,397,118.22
五、净利润（净亏损以“-”号填列）||-602,482,999.28|256,780,449.33
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||-617,301,545.14|183,986,728.30
2．终止经营净利润（净亏损以“-”号填列）||14,818,545.86|72,793,721.03
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||-596,103,597.22|264,045,436.49
2．少数股东损益（净亏损以“-”号填列）||-6,379,402.06|-7,264,987.16
六、其他综合收益的税后净额||-120,472,533.69|-3,518,365.23
归属于母公司所有者的其他综合收益的税后净额||-120,472,533.69|-3,518,365.23
（一）不能重分类进损益的其他综合收益|||2,030,266.60
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||2,030,266.60
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
page|96
项目|附注五|本期金额|上期金额
（二）将重分类进损益的其他综合收益||-120,472,533.69|-5,548,631.83
1．权益法下可转损益的其他综合收益||-7,693,437.83|-17,141,958.50
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-112,779,095.86|11,593,326.67
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-722,955,532.97|253,262,084.10
归属于母公司所有者的综合收益总额||-716,576,130.91|260,527,071.26
归属于少数股东的综合收益总额||-6,379,402.06|-7,264,987.16
八、每股收益：|||
（一）基本每股收益（元/股）|(五十四)|-0.3378|0.1496
（二）稀释每股收益（元/股）|(五十四)|-0.3378|0.1496
