page|99
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||2,379,912,645.84|3,464,090,566.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||104,998,022.27|160,091,097.66
收到其他与经营活动有关的现金|(五十五)|43,141,566.81|133,954,721.24
经营活动现金流入小计||2,528,052,234.92|3,758,136,385.04
购买商品、接受劳务支付的现金||1,824,640,623.36|2,209,055,584.70
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||494,587,632.29|629,658,272.59
支付的各项税费||51,992,211.57|43,344,609.67
支付其他与经营活动有关的现金|(五十五)|551,402,480.28|353,848,272.57
经营活动现金流出小计||2,922,622,947.50|3,235,906,739.53
经营活动产生的现金流量净额||-394,570,712.58|522,229,645.51
二、投资活动产生的现金流量|||
收回投资收到的现金|||50,000.00
取得投资收益收到的现金|||741,198,838.44
处置固定资产、无形资产和其他长期资产收回的现金净额||27,958,394.60|184,456,855.68
处置子公司及其他营业单位收到的现金净额|||695,325,731.82
收到其他与投资活动有关的现金|||-
投资活动现金流入小计||27,958,394.60|1,621,031,425.94
购建固定资产、无形资产和其他长期资产支付的现金||69,335,767.03|161,368,506.42
投资支付的现金||95,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||164,335,767.03|161,368,506.42
投资活动产生的现金流量净额||-136,377,372.43|1,459,662,919.52
三、筹资活动产生的现金流量|||
page|100
项目|附注五|本期金额|上期金额
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||9,390,000.00|568,229,205.12
收到其他与筹资活动有关的现金|(五十五)|10,468,936.24|637,687,834.24
筹资活动现金流入小计||19,858,936.24|1,205,917,039.36
偿还债务支付的现金||31,817,017.86|2,509,842,040.24
分配股利、利润或偿付利息支付的现金||670,143.63|90,882,391.58
其中：子公司支付给少数股东的股利、利润|||-
支付其他与筹资活动有关的现金|(五十五)||195,003,747.11
筹资活动现金流出小计||32,487,161.49|2,795,728,178.93
筹资活动产生的现金流量净额||-12,628,225.25|-1,589,811,139.57
四、汇率变动对现金及现金等价物的影响||-9,989,549.64|-1,024,292.32
五、现金及现金等价物净增加额||-553,565,859.90|391,057,133.14
加：期初现金及现金等价物余额||788,250,423.52|397,193,290.38
六、期末现金及现金等价物余额||234,684,563.62|788,250,423.52
