page|126
||本集团||本银行|
|附注七|2019 年|2018 年|2019 年|2018 年
资产|||||
现金及存放中央银行款项|1|486,444|475,781|486,430|475,775
存放同业及其他金融机构款项|2|87,260|53,303|81,829|47,869
贵金属||401|3,350|401|3,350
拆出资金|3|231,475|98,349|243,929|111,238
衍生金融资产|4|32,724|42,092|32,722|42,092
买入返售金融资产|5|41,861|77,083|37,988|73,795
发放贷款和垫款|6|3,345,180|2,838,445|3,316,610|2,822,075
金融投资：|7||||
交易性金融资产|7.1|652,034|不适用|628,253|不适用
债权投资|7.2|1,444,176|不适用|1,431,325|不适用
其他债权投资|7.3|599,382|不适用|597,801|不适用
其他权益工具投资|7.4|1,929|不适用|1,929|不适用
以公允价值计量且其变动计入|||||
当期损益的金融资产|8|不适用|459,598|不适用|413,015
可供出售金融资产|9|不适用|647,102|不适用|665,685
持有至到期投资|10|不适用|395,142|不适用|393,557
应收款项类投资|11|不适用|1,387,150|不适用|1,375,840
应收融资租赁款|12|106,273|104,253|-|-
长期股权投资|13|3,413|3,224|23,601|17,979
固定资产|14|24,641|17,658|18,892|12,624
在建工程|15|3,463|7,872|3,441|7,852
无形资产||647|602|603|556
商誉|16|532|532|-|-
递延所得税资产|17|40,799|32,317|37,984|30,102
其他资产|18|43,047|67,804|34,518|56,028
资产总计||7,145,681|6,711,657|6,978,256|6,549,432
page|127
||本集团||本银行|
|附注七|2019 年|2018 年|2019 年|2018 年
负债|||||
向中央银行借款||168,259|268,500|168,259|268,500
同业及其他金融机构存放款项|19|1,233,937|1,344,883|1,245,608|1,351,407
拆入资金|20|192,310|220,831|97,194|126,941
交易性金融负债|21|4,214|2,594|4,106|2,387
衍生金融负债|4|31,444|38,823|31,442|38,823
卖出回购金融资产款|22|193,412|230,569|184,072|219,274
吸收存款|23|3,794,832|3,303,512|3,797,501|3,304,063
应付职工薪酬|24|17,738|15,341|15,909|13,569
应交税费|25|14,476|11,297|13,226|10,045
预计负债|26|6,253|-|6,253|-
应付债券|27|899,116|717,854|871,106|698,436
其他负债|28|40,038|84,869|21,124|66,423
负债合计|||||
||6,596,029|6,239,073|6,455,800|6,099,868
page|128
||本集团||本银行|
|附注七|2019 年|2018 年|2019 年|2018 年
股东权益|||||
股本|29|20,774|20,774|20,774|20,774
其他权益工具|30|55,842|25,905|55,842|25,905
其中：优先股||55,842|25,905|55,842|25,905
资本公积|31|74,914|75,011|75,260|75,260
其他综合收益|44|3,232|2,356|3,192|2,802
盈余公积|32|10,684|10,684|10,684|10,684
一般风险准备|33|78,525|73,422|74,829|69,996
未分配利润|34|297,389|257,801|281,875|244,143
归属于母公司股东权益合计||541,360|465,953|522,456|449,564
少数股东权益||8,292|6,631|-|-
股东权益合计||549,652|472,584|522,456|449,564
负债和股东权益总计||7,145,681|6,711,657|6,978,256|6,549,432
