page|134
项目|附注|2019 年度|2018 年度(已重述)
一、营业收入|(六)49|97,672,181,191.74|88,277,854,683.49
减：营业成本|(六)49|63,829,174,174.03|53,414,728,391.60
税金及附加|(六)50|9,199,819,220.73|8,324,220,620.71
销售费用|(六)51|2,206,646,581.01|1,553,827,060.23
管理费用|(六)52|1,728,572,047.38|1,496,908,840.96
研发费用|(六)53|52,393,153.69|30,572,000.00
财务费用|(六)54|2,772,555,284.46|2,447,858,039.18
其中：利息费用|(六)54|5,021,682,731.13|3,605,374,559.59
利息收入|(六)54|2,322,040,593.79|1,784,052,600.29
加：其他收益|(六)55|97,501,495.87|84,045,249.49
投资收益|(六)56|10,231,354,567.00|6,547,672,124.17
其中：对联营企业和合营企业的投资收益|(六)56|2,553,397,547.49|1,697,175,963.25
以摊余成本计量的金融资产终止确认收益||-|-
公允价值变动收益(损失)|(六)57|114,430,463.78|(62,561,352.55)
信用减值利得(损失)|(六)58|80,461,875.41|18,117,194.22
资产减值利得(损失)|(六)59|(2,092,435,466.08)|(985,525,126.01)
资产处置收益(损失)|(六)60|5,659,494.94|1,849,526.82
二、营业利润||26,319,993,161.36|26,613,337,346.95
加：营业外收入|(六)61|144,701,878.77|143,577,496.53
减：营业外支出|(六)62|340,983,553.99|155,963,496.94
三、利润总额||26,123,711,486.14|26,600,951,346.54
减：所得税费用|(六)63|7,266,829,279.76|7,140,170,734.79
四、净利润||18,856,882,206.38|19,460,780,611.75
(一)按经营持续性分类|||
1.持续经营净利润||18,856,882,206.38|19,460,780,611.75
2.终止经营净利润||-|-
(二)按所有权归属分类|||
1.归属于母公司股东的净利润||16,033,175,796.35|15,240,053,237.00
2.少数股东损益||2,823,706,410.03|4,220,727,374.75
page|135
项目|附注|2019 年度|2018 年度(已重述)
五、其他综合收益的税后净额|(六)45|15,127,906.12|217,665,451.19
归属母公司股东的其他综合收益的税后净额||11,632,569.05|214,847,343.10
(一)不能重分类进损益的其他综合收益||94,036.75|-
1.重新计量设定受益计划变动额||-|-
2.权益法下不能转损益的其他综合收益||-|-
3.其他权益工具投资公允价值变动||94,036.75|-
4.企业自身信用风险公允价值变动||-|-
(二)将重分类进损益的其他综合收益||11,538,532.30|214,847,343.10
1.权益法下可转损益的其他综合收益||-|-
2.其他债权投资公允价值变动||-|-
3.金融资产重分类计入其他综合收益的金额||-|-
4.其他债权投资信用减值准备||-|-
5.现金流量套期储备||-|-
6.外币财务报表折算差额||11,538,532.30|214,847,343.10
归属于少数股东的其他综合收益的税后净额||3,495,337.07|2,818,108.09
六、综合收益总额||18,872,010,112.50|19,678,446,062.94
归属于母公司股东的综合收益总额||16,044,808,365.40|15,454,900,580.10
归属于少数股东的综合收益总额||2,827,201,747.10|4,223,545,482.84
七、每股收益：|||
(一)基本每股收益||1.99|1.89
(二)稀释每股收益||1.99|1.89
