page|76
资产|附注|2021年12月31日 合并|2020年12月31日 合并|2021年12月31日 公司|2020年12月31日 公司
流动资产|||||
货币资金|五(1)，十五(1)|46,273,232,520|35,215,402,475|1,944,193,474|1,596,328,709
交易性金融资产|五(2)|3,286,826,770|1,560,063,669|-|-
应收票据|五(3)|519,327,657|473,265,790|-|-
应收账款|五(4)|19,351,822,927|19,460,867,809|-|-
预付款项|五(5)|7,510,160,500|6,758,909,674|-|-
其他应收款|五(6)|3,244,458,845|3,403,492,348|-|-
存货|五(7)|1,846,262,040|1,951,390,703|-|-
合同资产|五(8)|467,321,379|822,749,051|-|-
一年内到期的非流动资产||751,410,094|-|-|-
其他流动资产|五(9)|43,001,037,469|39,007,515,458|-|-
流动资产合计||126,251,860,201|108,653,656,977|1,944,193,474|1,596,328,709
|||||
非流动资产|||||
其他债权投资||906,275,865|721,083,937|-|-
长期应收款||1,400,805,583|546,557,108|-|-
长期股权投资|五(10)，十五(2)|48,416,397,472|44,458,188,640|101,767,658,479|101,631,578,479
其他权益工具投资|五(11)|2,005,602,463|1,838,300,911|-|-
其他非流动金融资产|五(2)|802,977,478|933,690,125|-|-
债权投资|十五(3)|-|-|743,091,713|3,046,096,088
固定资产|五(12)|310,915,659,439|315,331,979,845|3,354,473|3,577,295
在建工程|五(13)|41,191,613,356|47,155,612,294|-|-
使用权资产|五(52)|23,931,984,248|29,052,403,370|-|-
无形资产|五(14)|27,172,872,329|24,942,470,340|8,267,309|8,515,950
开发支出||2,071,221,495|981,162,727|-|-
长期待摊费用|五(15)|3,049,943,053|2,851,607,849|-|-
递延所得税资产|五(48)|271,324,700|208,114,399|-|-
其他非流动资产|五(16)|4,895,942,172|4,800,601,886|-|-
非流动资产合计||467,032,619,653|473,821,773,431|102,522,371,974|104,689,767,812
|||||
资产总计||593,284,479,854|582,475,430,408|104,466,565,448|106,286,096,521
page|77
负债和股东权益|附注|2021年12月31日 合并|2020年12月31日 合并|2021年12月31日 公司|2020年12月31日 公司
