page|55
项目|附注|2020年度|2019年度 (已重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,967,200,650.39|2,842,134,124.95
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|(五)78(1)|72,892,143.67|24,307,525.48
经营活动现金流入小计||3,040,092,794.06|2,866,441,650.43
购买商品、接受劳务支付的现金||1,881,962,608.29|1,719,812,359.63
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||627,682,419.72|710,642,161.86
支付的各项税费||99,212,925.01|124,653,706.18
支付其他与经营活动有关的现金|(五)78(2)|134,633,178.37|80,842,574.12
经营活动现金流出小计||2,743,491,131.39|2,635,950,801.79
经营活动产生的现金流量净额|(五)79(1)|296,601,662.67|230,490,848.64
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,035,094.85|389,644,984.03
page|56
取得投资收益收到的现金||141,483,548.72|168,253,060.51
处置固定资产、无形资产和其他长期资产收回的现金净额||160,695,536.26|63,710,436.71
处置子公司及其他营业单位收到的现金净额|||
取得子公司及其他营业单位收到的现金净额|||2,663,138.77
收到其他与投资活动有关的现金|(五)78(3)|20,000,000.00|
投资活动现金流入小计||323,214,179.83|624,271,620.02
购建固定资产、无形资产和其他长期资产支付的现金||246,879,118.58|170,844,872.02
投资支付的现金||421,685.42|319,376,485.66
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|(六)2(2)|22,361,618.72|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||269,662,422.72|490,221,357.68
投资活动产生的现金流量净额||53,551,757.11|134,050,262.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||120,000,000.00
其中：子公司吸收少数股东投资收到的现金|||120,000,000.00
取得借款收到的现金|||41,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||161,000,000.00
偿还债务支付的现金||22,280,000.00|7,560,000.00
分配股利、利润或偿付利息支付的现金||185,929,157.97|197,452,411.64
其中：子公司支付给少数股东的股利、利润||47,855,466.30|58,881,554.68
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||208,209,157.97|205,012,411.64
筹资活动产生的现金流量净额||-208,209,157.97|-44,012,411.64
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||141,944,261.81|320,528,699.34
加：期初现金及现金等价物余额|(五)79(4)|1,084,446,276.55|763,917,577.21
六、期末现金及现金等价物余额|(五)79(4)|1,226,390,538.36|1,084,446,276.55
