page|52
项目|附注|2020 年度|2019 年度 (已重述)
一、营业总收入||2,661,982,187.60|2,547,137,412.78
其中：营业收入|(五)61|2,661,982,187.60|2,547,137,412.78
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,786,577,188.39|2,445,139,586.43
其中：营业成本|(五)61|2,323,754,183.43|2,129,824,234.67
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|(五)62|15,451,056.64|13,816,808.32
销售费用|(五)63|239,396,773.73|191,462,993.12
管理费用|(五)64|223,107,102.81|121,626,161.51
研发费用|||
财务费用|(五)66|-15,131,928.22|-11,590,611.19
其中：利息费用||1,356,459.68|3,234,516.48
利息收入||17,548,132.13|16,507,796.84
加：其他收益|(五)67|9,719,877.34|2,608,418.44
投资收益（损失以“－”号填列）|(五)68|131,907,161.25|186,880,038.11
其中：对联营企业和合营企业的投资收益||98,258,418.88|157,362,713.19
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|53
公允价值变动收益（损失以“－”号填列）|(五)70|-18,734,891.56|27,145,341.46
信用减值损失（损失以“-”号填列）|(五)71|-141,316.81|-199,731.79
资产减值损失（损失以“-”号填列）|(五)72|-12,728,115.42|
资产处置收益（损失以“－”号填列）|(五)73|372,398,544.46|37,615,934.34
三、营业利润（亏损以“－”号填列）||357,826,258.47|356,047,826.91
加：营业外收入|(五)74|9,552,831.18|9,816,452.38
减：营业外支出|(五)75|3,784,517.99|95,656.37
四、利润总额（亏损总额以“－”号填列）||363,594,571.66|365,768,622.92
减：所得税费用|(五)76|97,513,044.79|54,307,379.59
五、净利润（净亏损以“－”号填列）||266,081,526.87|311,461,243.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||266,081,526.87|311,461,243.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||241,547,952.04|267,201,896.87
2.少数股东损益（净亏损以“-”号填列）||24,533,574.83|44,259,346.46
六、其他综合收益的税后净额||-47,364,053.74|137,635,026.65
（一）归属母公司所有者的其他综合收益的税后净额|(五)57|-47,319,163.55|137,561,606.28
1．不能重分类进损益的其他综合收益||-47,319,163.55|137,561,606.28
（1）重新计量设定受益计划变动额||-146,303.80|1,312,629.25
（2）权益法下不能转损益的其他综合收益||-74,653.60|29,694.72
（3）其他权益工具投资公允价值变动||-47,098,206.15|136,219,282.31
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|(五)57|-44,890.19|73,420.37
七、综合收益总额||218,717,473.13|449,096,269.98
（一）归属于母公司所有者的综合收益总额||194,228,788.49|404,763,503.15
（二）归属于少数股东的综合收益总额||24,488,684.64|44,332,766.83
八、每股收益：|||
（一）基本每股收益(元/股)||0.438|0.484
（二）稀释每股收益(元/股)||不适用|不适用
