page|41
项目|2019 年|2018 年|变动额
经营活动现金流入|46,817,754|45,857,289|960,465
经营活动现金流出|(51,658,323)|(48,221,282)|(3,437,041)
经营活动使用的现金流量净额|(4,840,569)|(2,363,993)|(2,476,576)
投资活动现金流入|103,963,571|89,756,279|14,207,292
投资活动现金流出|(108,757,120)|(101,534,104)|(7,223,016)
投资活动使用的现金流量净额|(4,793,549)|(11,777,825)|6,984,276
筹资活动现金流入|95,157,619|68,936,099|26,221,520
筹资活动现金流出|(81,879,627)|(55,745,514)|(26,134,113)
筹资活动产生的现金流量净额|13,277,992|13,190,585|87,407
汇率变动对现金及现金等价物的影响|858|16,259|(15,401)
现金及现金等价物净增加/(减少)额|3,644,732|(934,974)|4,579,706
加：年初现金及现金等价物余额|13,509,179|14,444,153|(934,974)
年末现金及现金等价物余额|17,153,911|13,509,179|3,644,732
page|44
资产处置收益|18,921|5,505||243.71%  固定资产处置收益增加
信用减值损失|(2,697,899)|不适用|不适用|贷款减值准备计提增加
资产减值损失|(161,575)|(1,932,291)|(91.64%)|
其他业务支出|(885)|(457)||93.65%  正常支出变化，金额较小
营业外收入|3,989|6,691||(40.38%)  清理久悬账户等收入同比减少
营业外支出|(30,632)|(21,971)||39.42%  抵债资产处置损失同比增加
所得税费用|(263,225)|(585,075)|(55.01%)  递延所得税费用下降|
项目|2019年12月31日|2018年12月31日|增减情况|主要原因
存放同业及其他金融机构款项|6,568,788|9,411,288|(30.20%)  正常变动|
拆出资金|6,762,843|4,040,374|67.38%  正常变动|
以公允价值计量且其变动计入当期损益的金融资产|不适用|8,353,039||不适用  采用新金融工具准则后取消项目
衍生金融资产|20,023|15,207||31.67%  衍生金融资产规模增加
买入返售金融资产|2,262,669|3,518,031|(35.68%)  正常变动|
发放贷款和垫款|170,995,529|130,756,019||30.77%  业务发展，贷款投放增加
交易性金融资产|50,086,875|不适用||不适用  采用新金融工具准则后新增项目
债权投资|52,282,414|不适用||不适用  采用新金融工具准则后新增项目
其他债权投资|20,229,074|不适用||不适用  采用新金融工具准则后新增项目
其他权益工具投资|5,200|不适用||不适用  采用新金融工具准则后新增项目
可供出售金融资产|不适用|44,288,354||不适用  采用新金融工具准则后取消项目
持有至到期投资|不适用|34,271,902||不适用  采用新金融工具准则后取消项目
应收款项类投资|不适用|25,111,724||不适用  采用新金融工具准则后取消项目
应收利息|-|1,613,143|不适用|按照《关于修订印发 2018 年度金融企业财务报表格式的通知》的要求，基于实际利率法计提的金融工具的利息，反映在相应金融工具中，相关金融工具已到期可收取但于资产负债表日尚未收取的利息，列示在其他资产
递延所得税资产|1,655,694|997,729||65.95%  递延所得税资产增加
同业及其他金融机构存放|2,748,170|905,551|203.48%  同业存放款项增加|
拆入资金|5,010,613|2,984,169|67.91%  拆入资金增加|
衍生金融负债|17,040|26,888|(36.63%)  公允价值变动导致|
应付利息|-|2,734,222|不适用|按照《关于修订印发 2018 年度金融企业财务报表格式的通知》的要求，基于实际利率法计提的金融工具的利息，反映在相应金融工具中，相关金融工具已到期可支付但于资产负债表日尚未支付的利息，列示在其他负债
预计负债|209,457|-|不适用|采用新金融工具准则后，针对表外信贷承诺等项目计提的减值准备
