page|88
项目|附 注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||775,740,000.41|799,486,866.27
结算备付金|||
拆出资金|||
交易性金融资产||70,158,480.82|130,759,890.41
衍生金融资产|||
应收票据|||
应收账款||543,928,714.22|297,914,567.83
应收款项融资||119,865,803.04|131,642,653.36
预付款项||16,014,257.97|11,385,233.83
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||12,766,564.06|2,702,504.22
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||517,591,430.26|536,539,095.80
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||5,741,825.94|23,132,971.49
流动资产合计||2,061,807,076.72|1,933,563,783.21
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||119,554,727.98|99,586,348.05
其他权益工具投资||40,000,000.00|
其他非流动金融资产|||
投资性房地产|||
固定资产||1,417,538,918.34|1,451,288,040.48
在建工程||371,468,101.39|152,801,999.68
生产性生物资产|||
page|89
油气资产|||
使用权资产||1,532,881.89|
无形资产||231,168,123.53|197,898,112.44
开发支出||14,423,503.64|9,513,847.76
商誉||519,707,794.16|519,707,794.16
长期待摊费用||26,755,582.36|15,927,659.82
递延所得税资产||14,392,044.48|5,475,214.76
其他非流动资产||77,029,061.34|20,572,661.11
非流动资产合计||2,833,570,739.11|2,472,771,678.26
资产总计||4,895,377,815.83|4,406,335,461.47
流动负债：|||
短期借款||926,919,634.08|827,919,670.36
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||268,503,063.81|98,152,279.99
应付账款||322,441,095.29|197,779,987.42
预收款项|||
合同负债||5,101,079.63|190,095.54
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||30,813,534.73|23,209,079.74
应交税费||42,489,703.39|36,998,626.86
其他应付款||54,838,024.57|79,360,326.89
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||234,310,477.34|262,110,333.01
其他流动负债||643,507.90|11,658.08
流动负债合计||1,886,060,120.74|1,525,732,057.89
非流动负债：|||
保险合同准备金|||
长期借款||746,554,479.98|992,946,635.89
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
page|90
长期应付款||1,020,000.00|
长期应付职工薪酬|||
预计负债|||
递延收益||43,348,273.17|22,941,777.87
递延所得税负债|||
其他非流动负债||3,857,232.30|
非流动负债合计||794,779,985.45|1,015,888,413.76
负债合计||2,680,840,106.19|2,541,620,471.65
所有者权益（或股东权益）：|||
实收资本（或股本）||245,016,871.00|244,904,743.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||1,140,684,550.35|977,664,590.09
减：库存股||27,745,892.00|26,066,050.00
其他综合收益||-5,508,694.24|-2,343,830.04
专项储备|||
盈余公积||133,010,929.63|102,567,464.57
一般风险准备|||
未分配利润||689,520,243.77|526,776,267.71
归属于母公司所有者权益（或股东权益）合计||2,174,978,008.51|1,823,503,185.33
少数股东权益||39,559,701.13|41,211,804.49
所有者权益（或股东权益）合计||2,214,537,709.64|1,864,714,989.82
负债和所有者权益（或股东权益）总计||4,895,377,815.83|4,406,335,461.47
