page|93
一、营业总收入|||1,999,916,888.19  1,367,087,241.13
其中：营业收入|||1,999,916,888.19  1,367,087,241.13
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||1,614,380,991.91  1,085,867,685.10
其中：营业成本||1,251,941,286.73|765,728,492.48
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||15,547,495.84|13,090,340.66
销售费用||19,676,988.59|9,715,577.33
管理费用||130,892,944.48|140,410,099.74
研发费用||124,580,729.29|87,842,937.85
财务费用||71,741,546.98|69,080,237.04
其中：利息费用||73,822,585.44|92,040,474.42
利息收入||5,702,356.31|3,916,621.54
加：其他收益||22,854,204.13|14,989,617.79
投资收益（损失以“－”号填列）||7,229,869.83|3,047,432.81
其中：对联营企业和合营企业的投资收益||1,833,653.32|2,062,146.17
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||158,480.82|759,890.41
信用减值损失（损失以“-”号填列）||-9,506,125.48|-3,576,413.76
资产减值损失（损失以“-”号填列）||-3,167,282.30|-1,568,021.56
资产处置收益（损失以“－”号填列）||-3,339,586.81|-936,811.82
三、营业利润（亏损以“－”号填列）||399,765,456.47|293,935,249.90
加：营业外收入||2,051,863.34|15,478,968.83
减：营业外支出||6,425,314.55|5,715,704.46
四、利润总额（亏损总额以“－”号填列）||395,392,005.26|303,698,514.27
page|94
减：所得税费用||65,623,633.55|50,101,221.52
五、净利润（净亏损以“－”号填列）||329,768,371.71|253,597,292.75
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||329,768,371.71|253,597,292.75
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||323,754,754.88|238,729,340.15
2.少数股东损益（净亏损以“-”号填列）||6,013,616.83|14,867,952.60
六、其他综合收益的税后净额||-3,164,864.20|-347,772.77
（一）归属母公司所有者的其他综合收益的税后净额||-3,164,864.20|-380,030.62
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-3,164,864.20|-380,030.62
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-3,164,864.20|-380,030.62
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||32,257.85
七、综合收益总额||326,603,507.51|253,249,519.98
（一）归属于母公司所有者的综合收益总额||320,589,890.68|238,349,309.53
（二）归属于少数股东的综合收益总额||6,013,616.83|14,900,210.45
八、每股收益：|||
page|95
（一）基本每股收益(元/股)||1.32|1.00
（二）稀释每股收益(元/股)||1.32|1.00
