page|80
项目|附 注|2021 年度|2020 年度
一、营业总收入||6,594,861,850.05|6,455,853,710.64
其中：营业收入||6,594,861,850.05|6,455,853,710.64
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,495,097,445.46|5,396,304,682.45
其中：营业成本||4,094,699,901.80|3,867,699,685.07
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||206,541,922.78|358,480,448.79
销售费用|||
管理费用||922,314,914.16|891,955,858.32
研发费用||53,878,006.83|11,469,425.68
财务费用||217,662,699.89|266,699,264.59
其中：利息费用||277,584,295.95|306,663,640.77
利息收入||60,224,911.87|40,524,005.20
加：其他收益||54,709,973.87|53,630,043.00
投资收益（损失以“－”号填列）||186,114,188.04|201,940,194.13
其中：对联营企业和合营企业的投资收益||176,101,826.59|191,068,724.04
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
page|81
信用减值损失（损失以“-”号填列）||-28,394,521.41|-1,568,979.21
资产减值损失（损失以“-”号填列）||-34,562,954.52|-84,379,438.55
资产处置收益（损失以“－”号填列）|||1,069,063.11
三、营业利润（亏损以“－”号填列）||1,277,631,090.57|1,230,239,910.67
加：营业外收入||8,877,816.18|14,603,165.63
减：营业外支出||5,068,230.20|11,010,722.19
四、利润总额（亏损总额以“－”号填列）||1,281,440,676.55|1,233,832,354.11
减：所得税费用||284,300,281.26|334,229,007.10
五、净利润（净亏损以“－”号填列）||997,140,395.29|899,603,347.01
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||997,140,395.29|899,603,347.01
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,038,394,361.09|995,132,015.27
2.少数股东损益（净亏损以“-”号填列）||-41,253,965.80|-95,528,668.26
六、其他综合收益的税后净额||146,452,127.44|82,283,709.11
（一）归属母公司所有者的其他综合收益的税后净额||135,025,490.10|81,931,149.44
1．不能重分类进损益的其他综合收益||136,252,857.04|86,382,213.75
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||55,478,499.54|91,018,161.47
page|82
（3）其他权益工具投资公允价值变动||80,774,357.50|-4,635,947.72
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,227,366.94|-4,451,064.31
（1）权益法下可转损益的其他综合收益|||-1,702,543.41
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,227,366.94|-2,748,520.90
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||11,426,637.34|352,559.67
七、综合收益总额||1,143,592,522.73|981,887,056.12
（一）归属于母公司所有者的综合收益总额||1,173,419,851.19|1,077,063,164.71
（二）归属于少数股东的综合收益总额||-29,827,328.46|-95,176,108.59
八、每股收益：|||
（一）基本每股收益(元/股)||0.19|0.18
（二）稀释每股收益(元/股)||0.19|0.18
