page|139
项目|附注|2021 年度|2020 年度 （经重述）
一、营业总收入||269,748,232|185,990,577
其中：营业收入|七、(47)|269,748,232|185,990,577
二、营业总成本||253,977,980|182,437,372
其中：营业成本|七、(47)|241,617,538|171,778,213
税金及附加|七、(48)|2,247,649|1,601,728
销售费用|七、(49)|314,926|315,653
管理费用|七、(50)|3,721,937|3,066,768
研发费用|七、(51)|2,362,204|1,434,056
财务费用|七、(52)|3,713,726|4,240,954
其中：利息费用||3,922,441|4,344,205
利息收入||275,996|227,201
加：其他收益|七、(53)|144,861|135,451
投资收益（损失以“－”号填列）|七、(54)|-216,681|943,716
其中：对联营企业和合营企业的投资收益|七、(54)|436,684|326,239
以摊余成本计量的金融资产终止确认    收益||-83,293|-
公允价值变动收益（损失以“－”号填列）||-59,209|-10,394
信用减值损失（损失以“-”号填列）|七、(55)|-1,384,888|-979,161
资产减值损失（损失以“-”号填列）|七、(56)|-3,071,185|-1,754,434
资产处置收益（损失以“－”号填列）|七、(57)|24,926|448,439
三、营业利润（亏损以“－”号填列）||11,208,076|2,336,822
加：营业外收入|七、(58)|100,684|147,118
减：营业外支出|七、(59)|1,129,980|294,669
四、利润总额（亏损总额以“－”号填列）||10,178,780|2,189,271
减：所得税费用|七、(61)|2,389,761|590,023
五、净利润（净亏损以“－”号填列）||7,789,019|1,599,248
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||7,789,019|1,599,248
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”      号填列）||5,079,562|764,306
2.少数股东损益（净亏损以“-”号填列）||2,709,457|834,942
六、其他综合收益的税后净额|七、(42)|223,019|119,632
page|140
（一）归属母公司股东的其他综合收益的税后净额||223,579|121,115
1．不能重分类进损益的其他综合收益||-32,211|-41,893
（1）权益法下不能转损益的其他综合收益||8,879|-2,522
（2）其他权益工具投资公允价值变动||-41,090|-39,371
2．将重分类进损益的其他综合收益||255,790|163,008
（1）外币财务报表折算差额||255,790|163,008
（二）归属于少数股东的其他综合收益的税后净额||-560|-1,483
七、综合收益总额||8,012,038|1,718,880
（一）归属于母公司股东的综合收益总额||5,303,141|885,421
（二）归属于少数股东的综合收益总额||2,708,897|833,459
八、每股收益：|||
（一）基本每股收益(元/股)|七、(62)|0.286|0.030
（二）稀释每股收益(元/股)|七、(62)|0.286|0.030
