page|142
项目|附注|2021年度|2020年度 （经重述）
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||229,503,986|148,551,690
收到的税费返还||69,937|342,161
收到其他与经营活动有关的现金|七、(63)(1)|492,621|1,105,176
经营活动现金流入小计||230,066,544|149,999,027
购买商品、接受劳务支付的现金||181,616,192|120,899,235
支付给职工及为职工支付的现金||9,005,783|7,987,005
支付的各项税费||8,894,987|4,323,382
支付其他与经营活动有关的现金|七、(63)(2)|2,243,226|1,834,379
经营活动现金流出小计||201,760,188|135,044,001
经营活动产生的现金流量净额|七、(64)(1)|28,306,356|14,955,026
二、投资活动产生的现金流量：|||
收回投资收到的现金||12,951,779|11,207,783
取得投资收益收到的现金||715,536|407,252
处置固定资产、无形资产和其他长期资产收   回的现金净额||1,042,201|1,827,107
处置子公司及其他营业单位收到的现金净额||20,950|42,910
收到其他与投资活动有关的现金|七、(63)(3)|-|527,068
投资活动现金流入小计||14,730,466|14,012,120
购建固定资产、无形资产和其他长期资产支   付的现金||2,135,552|5,038,896
投资支付的现金||12,241,000|7,031,806
支付其他与投资活动有关的现金|七、(63)(4)|1,174,186|56,156
投资活动现金流出小计||15,550,738|12,126,858
投资活动(使用)/产生的现金流量净额||-820,272|1,885,262
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|197,276
其中：子公司吸收少数股东投资收到的现金||-|197,276
取得借款收到的现金||29,542,456|46,021,404
发行债券收到的现金||24,845,054|25,900,000
发行其他权益工具收到的现金||-|1,000,000
筹资活动现金流入小计||54,387,510|73,118,680
偿还永续债所支付的现金||5,386,250|2,000,000
page|143
偿还债务支付的现金||62,097,462|80,672,133
分配股利、利润或偿付利息支付的现金||3,966,393|4,021,065
其中：子公司支付给少数股东的股利、利润||460,744|356,340
同一控制下企业合并支付的对价|七、(64)(2)|395,624|-
其他权益工具派息支付的现金||349,627|421,416
支付其他与筹资活动有关的现金|七、(63)(5)|670,427|1,777,487
筹资活动现金流出小计||72,865,783|88,892,101
筹资活动产生的现金流量净额||-18,478,273|-15,773,421
四、汇率变动对现金及现金等价物的影响||73,911|-88,401
五、现金及现金等价物净增加额|七、(64)(1)|9,081,722|978,466
加：期初现金及现金等价物余额||8,771,522|7,793,056
六、期末现金及现金等价物余额|七、(64)(3)|17,853,244|8,771,522
