page|120
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,034,849,545.04|822,249,736.70
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||38,521,289.60|9,908,088.63
收到其他与经营活动有关的现金|七、78|73,392,463.31|54,778,809.26
经营活动现金流入小计||1,146,763,297.95|886,936,634.59
购买商品、接受劳务支付的现金||687,062,385.84|394,671,588.47
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||122,579,227.05|81,539,573.35
支付的各项税费||34,658,203.25|28,015,500.71
支付其他与经营活动有关的现金|七、78|91,481,428.12|116,823,800.68
经营活动现金流出小计||935,781,244.26|621,050,463.21
经营活动产生的现金流量净额||210,982,053.69|265,886,171.38
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,405,000,000.00|1,200,000,000.00
取得投资收益收到的现金||13,299,883.67|4,842,891.23
page|121
处置固定资产、无形资产和其他长期资产收回的现金净额||66,254.08|469,870.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|62,400.00|
投资活动现金流入小计||1,418,428,537.75|1,205,312,761.23
购建固定资产、无形资产和其他长期资产支付的现金||227,207,305.42|214,045,099.94
投资支付的现金||1,205,000,000.00|995,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78||
投资活动现金流出小计||1,432,207,305.42|1,209,045,099.94
投资活动产生的现金流量净额||-13,778,767.67|-3,732,338.71
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||35,508,221.12|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||50,000,000.00|170,000,000.00
收到其他与筹资活动有关的现金|七、78||
筹资活动现金流入小计||85,508,221.12|170,000,000.00
偿还债务支付的现金||20,000,000.00|257,458,167.76
分配股利、利润或偿付利息支付的现金||28,703,202.14|50,658,929.86
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78||14,718,000.00
筹资活动现金流出小计||48,703,202.14|322,835,097.62
筹资活动产生的现金流量净额||36,805,018.98|-152,835,097.62
四、汇率变动对现金及现金等价物的影响||-6,313,620.16|-1,765,245.47
五、现金及现金等价物净增加额||227,694,684.84|107,553,489.58
加：期初现金及现金等价物余额||248,596,240.51|141,042,750.93
六、期末现金及现金等价物余额||476,290,925.35|248,596,240.51
