page|83
项 　　目|附注|2021年度|2020年度
一、营业总收入||7,698,162,275.78|7,062,870,245.49
其中：营业收入|五、44|7,032,011,198.94|6,356,950,910.91
利息收入|五、45|206,303,477.88|414,004,109.84
已赚保费|五、46|36,821,108.80|
手续费及佣金收入|五、47|423,026,490.16|291,915,224.74
二、营业总成本||6,848,795,190.65|6,192,422,550.67
其中：营业成本|五、44|5,203,696,523.85|4,693,354,490.55
利息支出|五、45|17,473,511.90|38,735,125.67
手续费及佣金支出|五、47|96,115,902.96|127,528,588.94
提取保险责任准备金净额|五、48|25,637,947.08|
税金及附加|五、49|48,113,155.93|40,889,755.36
销售费用|五、50|280,153,985.76|261,196,865.53
管理费用|五、51|512,556,971.65|431,444,344.74
研发费用|五、52|674,348,081.77|616,652,800.95
财务费用|五、53|-9,300,890.25|-17,379,421.07
其中:利息费用|五、53|7,257,351.10|3,200,463.34
利息收入|五、53|44,737,345.72|54,993,439.35
加：其他收益|五、54|75,283,954.45|112,785,954.09
投资收益（损失以“-”号填列）|五、55|-13,192,212.92|28,409,326.54
其中：对联营企业和合营企业的投资收益|五、55|-34,412,413.49|3,922,715.09
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|五、56|246,261,216.93|77,117,085.15
信用减值损失（损失以“-”号填列）|五、57|-245,630,149.27|-389,485,859.94
资产减值损失（损失以“-”号填列）|五、58|-21,273,231.18|-10,798,465.39
资产处置收益（损失以“-”号填列）|五、59|-15,331,133.28|1,156,467.53
三、营业利润（亏损以“-”号填列）||875,485,529.86|689,632,202.80
加：营业外收入|五、60|3,112,686.71|1,608,313.95
减：营业外支出|五、61|21,345,188.86|127,696,851.05
四、利润总额（亏损总额以“-”号填列）||857,253,027.71|563,543,665.70
减：所得税费用|五、62|106,321,868.69|61,304,509.55
五、净利润（净亏损以“-”号填列）||750,931,159.02|502,239,156.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||750,931,159.02|502,239,156.15
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||704,232,996.24|454,486,435.70
2.少数股东损益（净亏损以“-”号填列）||46,698,162.78|47,752,720.45
六、其他综合收益的税后净额||-2,798,859.96|235,703.16
（一）归属于母公司所有者的其他综合收益的税后净额||-893,721.60|-723,030.74
1. 不能重分类进损益的其他综合收益||-|-
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
2. 将重分类进损益的其他综合收益||-893,721.60|-723,030.74
（1）权益法下可转损益的其他综合收益|||
（2）外币财务报表折算差额||-893,721.60|-723,030.74
（二）归属于少数股东的其他综合收益的税后净额||-1,905,138.36|958,733.90
七、综合收益总额||748,132,299.06|502,474,859.31
（一）归属于母公司所有者的综合收益总额||703,339,274.64|453,763,404.96
（二）归属于少数股东的综合收益总额||44,793,024.42|48,711,454.35
八、每股收益|||
（一）基本每股收益（元/股）||0.6921|0.4463
（二）稀释每股收益（元/股）||0.6921|0.4423
