page|91
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,564,592,701.14|2,877,769,125.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
page|92
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||185,674,234.04|194,631,438.09
收到其他与经营活动有关的现金|（七十八）|19,853,577.97|15,761,752.37
经营活动现金流入小计||2,770,120,513.15|3,088,162,316.13
购买商品、接受劳务支付的现金||2,151,835,490.69|2,879,787,014.93
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||400,286,844.37|303,528,233.90
支付的各项税费||7,433,966.34|17,705,711.58
支付其他与经营活动有关的现金|（七十八）|51,169,991.64|54,320,594.17
经营活动现金流出小计||2,610,726,293.04|3,255,341,554.58
经营活动产生的现金流量净额||159,394,220.11|-167,179,238.45
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||38,607,994.23|30,950,571.03
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||38,607,994.23|30,950,571.03
购建固定资产、无形资产和其他长期资产支付的现金||202,221,076.35|447,060,474.87
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||172,043,586.76|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||374,264,663.11|447,060,474.87
投资活动产生的现金流量净额||-335,656,668.88|-416,109,903.84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||37,505,454.89|18,672,290.10
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||662,484,888.00|361,534,757.44
收到其他与筹资活动有关的现金|（七十八）|100,000,000.00|
筹资活动现金流入小计||799,990,342.89|380,207,047.54
偿还债务支付的现金||462,484,888.00|165,000,000.00
分配股利、利润或偿付利息支付的现||42,644,861.32|26,226,230.57
page|93
金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七十八）|25,604,017.39|
筹资活动现金流出小计||530,733,766.71|191,226,230.57
筹资活动产生的现金流量净额||269,256,576.18|188,980,816.97
四、汇率变动对现金及现金等价物的影响||13,552,546.30|28,263,240.36
五、现金及现金等价物净增加额||106,546,673.71|-366,045,084.96
加：期初现金及现金等价物余额||170,784,508.01|536,829,592.97
六、期末现金及现金等价物余额||277,331,181.72|170,784,508.01
