page|88
项目|附注五|2019 年度|2018 年度
一、营业总收入||2,973,748,561.72|3,156,324,223.54
其中：营业收入|（六十）|2,973,748,561.72|3,156,324,223.54
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,988,175,722.37|3,089,003,795.09
其中：营业成本|（六十）|2,453,783,949.20|2,789,220,189.30
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十一）|3,604,466.79|3,774,798.10
销售费用|（六十二）|60,707,936.88|53,540,134.23
管理费用|（六十三）|184,949,751.12|132,455,341.17
研发费用|（六十四）|272,823,630.88|131,150,457.48
财务费用|（六十五）|12,305,987.50|-21,137,125.19
其中：利息费用||22,763,778.56|7,525,262.86
利息收入||1,219,030.46|1,435,219.72
page|89
加：其他收益|（六十六）|8,996,057.62|11,229,309.52
投资收益（损失以“－”号填列）|||
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（七十）|4,869,852.52|
资产减值损失（损失以“-”号填列）|（七十一）|-2,139,935.32|-26,115,562.71
资产处置收益（损失以“－”号填列）|（七十二）|22,950,582.60|28,729,105.65
三、营业利润（亏损以“－”号填列）||20,249,396.77|81,163,280.91
加：营业外收入|（七十三）|1,633,321.89|372,978.98
减：营业外支出|（七十四）|249,591.21|304,291.10
四、利润总额（亏损总额以“－”号填列）||21,633,127.45|81,231,968.79
减：所得税费用|（七十五）|-113,067.53|4,454,453.84
五、净利润（净亏损以“－”号填列）||21,746,194.98|76,777,514.95
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||21,746,194.98|76,777,514.95
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||21,746,194.98|76,777,514.95
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||2,083,554.23|1,812,365.38
（一）归属母公司所有者的其他综合收益的税后净额||2,083,554.23|1,812,365.38
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||2,083,554.23|1,812,365.38
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
page|90
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||2,083,554.23|1,812,365.38
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||23,829,749.21|78,589,880.33
（一）归属于母公司所有者的综合收益总额||23,829,749.21|78,589,880.33
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.13|0.46
（二）稀释每股收益(元/股)||0.13|0.46
