page|65
项目|附注|2019 年度|2018 年度
一、营业总收入||1,033,935,692.71|1,099,960,107.96
其中：营业收入||1,033,935,692.71|1,099,960,107.96
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||941,002,031.88|984,878,941.67
其中：营业成本||818,167,392.78|873,523,284.59
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,258,625.53|6,372,179.75
销售费用||25,858,345.84|28,297,973.35
管理费用||36,927,765.17|26,134,873.80
研发费用||48,415,406.36|48,322,021.71
财务费用||5,374,496.20|2,228,608.47
其中：利息费用||7,911,230.24|6,998,054.46
利息收入||3,120,913.93|5,281,377.52
page|66
加：其他收益||17,907,682.19|32,029,199.62
投资收益（损失以“－”号填列）||-1,189,097.48|-
其中：对联营企业和合营企业的投资收益||-1,189,097.48|
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-992,770.30|-
资产减值损失（损失以“-”号填列）||-|-2,609,671.60
资产处置收益（损失以“－”号填列）||12,480.50|-1,677.84
三、营业利润（亏损以“－”号填列）||108,671,955.74|144,499,016.47
加：营业外收入||91,726.47|96,383.99
减：营业外支出||193,374.16|203,322.22
四、利润总额（亏损总额以“－”号填列）||108,570,308.05|144,392,078.24
减：所得税费用||14,301,360.19|19,294,801.75
五、净利润（净亏损以“－”号填列）||94,268,947.86|125,097,276.49
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||94,268,947.86|125,097,276.49
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||94,268,947.86|125,097,276.49
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
page|67
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||94,268,947.86|125,097,276.49
（一）归属于母公司所有者的综合收益总额||94,268,947.86|125,097,276.49
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.59|0.78
（二）稀释每股收益(元/股)||0.59|0.78
