page|59
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||692,680,738.04|766,008,086.70
page|60
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据||57,360,000.00|
应收账款||15,650,075.03|34,928,959.79
应收款项融资|||
预付款项||14,011,863.37|11,382,381.07
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||8,892,049.42|12,926,692.63
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||1,191,003,966.54|1,147,667,312.47
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||48,648,685.64|71,437,795.41
流动资产合计||2,028,247,378.04|2,044,351,228.07
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款||4,635,833.33|
长期股权投资|||
其他权益工具投资||198,726,337.04|210,301,475.09
其他非流动金融资产||38,531,955.58|40,877,523.27
投资性房地产||15,343,601.93|15,995,381.19
固定资产||3,635,082,685.75|3,573,352,640.75
在建工程||53,063,486.61|40,451,819.97
生产性生物资产|||
油气资产|||
使用权资产||177,287,167.13|
无形资产||128,426,538.95|132,608,036.83
开发支出|||
商誉|||
长期待摊费用||300,754,842.28|349,157,147.82
递延所得税资产||6,140,584.02|7,054,577.03
其他非流动资产||135,614,213.08|71,704,055.31
非流动资产合计||4,693,607,245.70|4,441,502,657.26
资产总计||6,721,854,623.74|6,485,853,885.33
流动负债：|||
短期借款||2,298,467,687.06|2,423,373,205.75
向中央银行借款|||
拆入资金|||
交易性金融负债|||
page|61
衍生金融负债|||
应付票据|||
应付账款||189,204,756.19|169,490,860.23
预收款项|||
合同负债||40,149,352.77|33,045,161.57
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||94,430,701.04|120,703,191.09
应交税费||18,014,763.87|21,750,618.47
其他应付款||44,412,528.65|38,782,311.50
其中：应付利息|||
应付股利||3,118,381.66|3,118,381.66
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||91,312,555.54|72,805,450.00
其他流动负债||61,054,901.38|4,819,908.69
流动负债合计||2,837,047,246.50|2,884,770,707.30
非流动负债：|||
保险合同准备金|||
长期借款||55,500,000.00|74,000,000.00
应付债券||200,000,000.00|
其中：优先股|||
永续债|||
租赁负债||60,187,326.61|
长期应付款||35,420,385.47|35,688,722.00
长期应付职工薪酬|||
预计负债|||
递延收益||170,312,695.09|166,305,976.84
递延所得税负债||37,597,161.68|39,637,338.11
其他非流动负债|||
非流动负债合计||559,017,568.85|315,632,036.95
负债合计||3,396,064,815.35|3,200,402,744.25
所有者权益（或股东权益）：|||
实收资本（或股本）||1,460,994,304.00|1,460,994,304.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||394,938,785.79|394,938,785.79
减：库存股|||
其他综合收益||100,412,979.79|104,774,333.33
专项储备|||
盈余公积||245,819,493.15|236,614,330.00
一般风险准备|||
未分配利润||1,111,329,379.27|1,071,611,350.86
归属于母公司所有者权益||3,313,494,942.00|3,268,933,103.98
page|62
（或股东权益）合计|||
少数股东权益||12,294,866.39|16,518,037.10
所有者权益（或股东权益）合计||3,325,789,808.39|3,285,451,141.08
负债和所有者权益（或股东权益）总计||6,721,854,623.74|6,485,853,885.33
