page|70
项目|附 注|2019 年度|2018 年度
一、营业总收入|||8,352,187,741.64  7,643,430,114.13
其中：营业收入|||8,352,187,741.64  7,643,430,114.13
利息收入|||
已赚保费|||
page|71
手续费及佣金收入|||
二、营业总成本|||7,749,501,387.69  7,215,128,224.03
其中：营业成本|||5,774,102,225.27  5,374,893,191.78
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||38,465,077.03|33,745,677.60
销售费用||141,807,523.59|121,011,596.46
管理费用||914,123,487.04|934,137,949.80
研发费用||580,056,829.78|446,676,532.51
财务费用||300,946,244.98|304,663,275.88
其中：利息费用||318,643,189.89|331,912,933.08
利息收入||24,067,586.62|38,426,626.32
加：其他收益||63,465,220.84|85,209,199.73
投资收益（损失以“－”号填列）||198,177,614.57|123,158,848.17
其中：对联营企业和合营企业的投资收益||4,822,623.56|-256,992.85
以摊余成本计量的金融资产终止确认收益||-9,432,336.89|
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-123,202,147.57|
资产减值损失（损失以“-”号填列）||-141,115,392.48|-163,479,818.56
资产处置收益（损失以“－”号填列）||7,212,150.14|988,730.47
三、营业利润（亏损以“－”号填列）||607,223,799.45|474,178,849.91
加：营业外收入||35,584,517.74|96,580,298.07
减：营业外支出||11,695,286.03|5,120,450.59
四、利润总额（亏损总额以“－”号填列）||631,113,031.16|565,638,697.39
page|72
减：所得税费用||52,506,621.66|83,116,273.67
五、净利润（净亏损以“－”号填列）||578,606,409.50|482,522,423.72
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||578,606,409.50|482,522,423.72
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||556,020,333.42|479,328,638.42
2.少数股东损益（净亏损以“-”号填列）||22,586,076.08|3,193,785.30
六、其他综合收益的税后净额||80,043,708.74|-78,998,468.77
（一）归属母公司所有者的其他综合收益的税后净额||75,677,954.02|-72,803,989.84
1．不能重分类进损益的其他综合收益||75,677,954.02|-37,717,379.02
（1）重新计量设定受益计划变动额||-1,975,660.00|-37,717,379.02
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||30,253,920.84|
（4）企业自身信用风险公允价值变动||47,399,693.18|
2．将重分类进损益的其他综合收益|||-35,086,610.82
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-35,086,610.82
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
page|73
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||4,365,754.72|-6,194,478.93
七、综合收益总额||658,650,118.24|403,523,954.95
（一）归属于母公司所有者的综合收益总额||631,698,287.44|406,524,648.58
（二）归属于少数股东的综合收益总额||26,951,830.80|-3,000,693.63
八、每股收益：|||
（一）基本每股收益(元/股)||0.316|0.2743
（二）稀释每股收益(元/股)||0.316|0.2743
