page|99
项目|附 注|2021 年度|2020 年度
一、营业总收入||38,864,623,647.52|33,253,062,099.20
其中：营业收入||38,864,623,647.52|33,253,062,099.20
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||35,077,769,291.63|29,246,437,995.55
其中：营业成本||29,267,244,016.82|24,021,544,982.83
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||173,504,283.77|169,874,292.30
销售费用||1,694,489,372.29|1,612,424,982.99
管理费用||1,548,546,143.71|1,601,004,944.73
研发费用||1,125,087,470.38|1,029,205,905.23
财务费用||1,268,898,004.66|812,382,887.47
其中：利息费用||1,036,549,376.98|817,939,358.51
利息收入||133,840,253.09|121,090,666.01
加：其他收益||427,801,292.60|313,312,140.80
投资收益（损失以“－”号填列）||1,056,617,104.64|590,098,781.64
其中：对联营企业||298,146,662.18|308,696,278.04
page|100
和合营企业的投资收益|||
以 摊 余 成 本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净 敞 口 套 期 收 益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-337,663,843.52|3,216,360,696.58
信用减值损失（损失以“-”号填列）||-190,240,955.15|-141,991,605.66
资产减值损失（损失以“-”号填列）||-55,692,721.20|-62,098,506.38
资产处置收益（损失以“－”号填列）||25,731,651.84|-27,885,684.98
三、营业利润（亏损以“－”号填列）||4,713,406,885.10|7,894,419,925.65
加：营业外收入||27,467,793.53|7,996,434.14
减：营业外支出||250,506,483.45|118,543,088.40
四、利润总额（亏损总额以“－”号填列）||4,490,368,195.18|7,783,873,271.39
减：所得税费用||724,147,322.96|1,147,881,722.17
五、净利润（净亏损以“－”号填列）||3,766,220,872.22|6,635,991,549.22
（一）按经营持续性分类|||
1. 持 续 经 营 净 利 润（净亏损以“－”号填列）||3,766,220,872.22|6,635,991,549.22
2. 终 止 经 营 净 利 润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,400,637,980.92|6,427,172,913.25
2.少数股东损益（净亏损以“-”号填列）||365,582,891.30|208,818,635.97
六、其他综合收益的税后净额||-64,900,519.59|-40,836,906.06
（一）归属母公司所有者的其他综合收益的税后净额||-68,806,937.88|-34,909,307.12
1．不能重分类进损益的其他综合收益||99,409,682.26|27,984,867.73
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-3,778,807.37|5,114,538.48
（3）其他权益工具投资公允价值变动||103,188,489.63|22,870,329.25
page|101
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-168,216,620.14|-62,894,174.85
（1）权益法下可转损益的其他综合收益||2,428,292.74|-5,479,080.68
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-170,644,912.88|-57,415,094.17
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||3,906,418.29|-5,927,598.94
七、综合收益总额||3,701,320,352.63|6,595,154,643.16
（一）归属于母公司所有者的综合收益总额||3,331,831,043.04|6,392,263,606.13
（二）归属于少数股东的综合收益总额||369,489,309.59|202,891,037.03
八、每股收益：|||
（一）基本每股收益(元/股)||1.58|2.99
（二）稀释每股收益(元/股)||1.58|2.99
