page|101
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||2,223,027,302.82|2,379,912,645.84
客户存款和同业存放款项净增加额||-|-
向中央银行借款净增加额||-|-
向其他金融机构拆入资金净增加额||-|-
收到原保险合同保费取得的现金||-|-
收到再保业务现金净额||-|-
保户储金及投资款净增加额||-|-
收取利息、手续费及佣金的现金||-|-
拆入资金净增加额||-|-
回购业务资金净增加额||-|-
代理买卖证券收到的现金净额||-|-
收到的税费返还||143,334,102.42|104,998,022.27
收到其他与经营活动有关的现金|(六十)|54,007,275.65|43,141,566.81
经营活动现金流入小计||2,420,368,680.89|2,528,052,234.92
购买商品、接受劳务支付的现金||1,853,466,200.24|1,824,640,623.36
客户贷款及垫款净增加额|||-
存放中央银行和同业款项净增加额|||-
支付原保险合同赔付款项的现金|||-
拆出资金净增加额|||-
支付利息、手续费及佣金的现金|||-
支付保单红利的现金|||-
支付给职工以及为职工支付的现金||469,296,502.40|494,587,632.29
支付的各项税费||42,066,445.22|51,992,211.57
支付其他与经营活动有关的现金|(六十)|166,747,148.38|551,402,480.28
经营活动现金流出小计||2,531,576,296.24|2,922,622,947.50
经营活动产生的现金流量净额||-111,207,615.35|-394,570,712.58
二、投资活动产生的现金流量|||
收回投资收到的现金||112,746,543.12|-
取得投资收益收到的现金||-|-
处置固定资产、无形资产和其他长期资产收回的现金净额||157,026,300.46|27,958,394.60
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金|(六十)|-|-
投资活动现金流入小计||269,772,843.58|27,958,394.60
购建固定资产、无形资产和其他长期资产支付的现金||60,934,294.33|69,335,767.03
投资支付的现金||-|95,000,000.00
质押贷款净增加额||-|-
取得子公司及其他营业单位支付的现金净额||-|-
page|102
项目|附注五|本期金额|上期金额
支付其他与投资活动有关的现金|(六十)|-|-
投资活动现金流出小计||60,934,294.33|164,335,767.03
投资活动产生的现金流量净额||208,838,549.25|-136,377,372.43
三、筹资活动产生的现金流量|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||15,334,720.80|9,390,000.00
收到其他与筹资活动有关的现金|(六十)|-|10,468,936.24
筹资活动现金流入小计||15,334,720.80|19,858,936.24
偿还债务支付的现金||12,338,084.50|31,817,017.86
分配股利、利润或偿付利息支付的现金||27,394.40|670,143.63
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|(六十)|76,262,713.52|-
筹资活动现金流出小计||88,628,192.42|32,487,161.49
筹资活动产生的现金流量净额||-73,293,471.62|-12,628,225.25
四、汇率变动对现金及现金等价物的影响||-1,068,636.77|-9,989,549.64
五、现金及现金等价物净增加额||23,268,825.51|-553,565,859.90
加：期初现金及现金等价物余额||234,684,563.62|788,250,423.52
六、期末现金及现金等价物余额||257,953,389.13|234,684,563.62
