page|97
项目|附注五|本期金额|上期金额
一、营业总收入||2,078,480,320.60|2,216,002,596.15
其中：营业收入|（四十四）|2,078,480,320.60|2,216,002,596.15
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,336,516,241.41|2,547,869,024.97
其中：营业成本|（四十四）|1,957,284,308.77|2,013,087,021.70
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十五）|21,655,868.27|25,136,617.09
销售费用|（四十六）|45,258,486.78|78,991,005.76
管理费用|（四十七）|279,731,213.33|401,674,789.57
研发费用|（四十八）|46,428,473.85|71,260,374.86
财务费用|（四十九）|-13,842,109.59|-42,280,784.01
其中：利息费用||3,453,369.06|670,143.63
利息收入||4,402,369.77|9,247,576.17
加：其他收益|（五十）|70,185,335.82|81,471,310.45
投资收益（损失以“-”号填列）|（五十一）|-221,315,787.50|-21,200,055.79
其中：对联营企业和合营企业的投资收益||-221,917,803.08|-19,920,116.15
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|（五十二）|-26,666,193.07|-80,063,085.07
资产减值损失（损失以“-”号填列）|（五十三）|-69,247,874.22|-423,849,290.47
资产处置收益（损失以“-”号填列）|（五十四）|9,212,916.47|-2,328,432.59
page|98
项目|附注五|本期金额|上期金额
三、营业利润（亏损以“-”号填列）||-495,867,523.31|-777,835,982.29
加：营业外收入|（五十五）|14,125,033.12|277,624,738.43
减：营业外支出|（五十六）|50,530,142.94|83,427,895.09
四、利润总额（亏损总额以“-”号填列）||-532,272,633.13|-583,639,138.95
减：所得税费用|（五十七）|3,012,971.66|18,843,860.33
五、净利润（净亏损以“-”号填列）||-535,285,604.79|-602,482,999.28
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||-477,090,983.15|-617,301,545.14
2．终止经营净利润（净亏损以“-”号填列）||-58,194,621.64|14,818,545.86
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||-529,471,160.57|-596,103,597.22
2．少数股东损益（净亏损以“-”号填列）||-5,814,444.22|-6,379,402.06
六、其他综合收益的税后净额||-31,695,489.29|-120,472,533.69
归属于母公司所有者的其他综合收益的税后净额||-31,695,489.29|-120,472,533.69
（一）不能重分类进损益的其他综合收益||-2,431,457.01|-
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-2,431,457.01|
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-29,264,032.28|-120,472,533.69
1．权益法下可转损益的其他综合收益||32,444,279.93|-7,693,437.83
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-61,708,312.21|-112,779,095.86
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-566,981,094.08|-722,955,532.97
归属于母公司所有者的综合收益总额||-561,166,649.86|-716,576,130.91
归属于少数股东的综合收益总额||-5,814,444.22|-6,379,402.06
八、每股收益：|||
（一）基本每股收益（元/股）||-0.3018|-0.3378
（二）稀释每股收益（元/股）||-0.3018|-0.3378
