page|71
2019年度|||人民币千元
|附注五|2019年|2018年
营业收入|35|23,477,597|22,638,957
减：营业成本|35|21,718,957|19,681,846
税金及附加|36|168,336|127,675
销售费用|37|121,521|88,057
管理费用|38|597,612|795,392
财务费用|39|170,887|183,073
其中：利息费用||216,278|278,680
利息收入||52,977|99,927
加：其他收益|40|144,872|2,729
投资收益|41|15,894|5,455
其中：对联营企业和合营企业的投资损|||
失||-|(1,566)
信用减值损失|42|(531)|(8,752)
资产减值损失|43|-|(30,728)
资产处置收益|44|-|14,822
营业利润||860,519|1,746,440
加：营业外收入|45|39,638|19,827
减：营业外支出|46|9,648|7,534
利润总额||890,509|1,758,733
减：所得税费用/（贷项）|48|(35,214)|(29,300)
净利润||925,723|1,788,033
按经营持续性分类|||
持续经营净利润||925,723|1,788,033
按所有权归属分类|||
归属于母公司股东的净利润||925,723|1,787,906
少数股东损益||-|127
其他综合收益的税后净额||-|-
综合收益总额||925,723|1,788,033
其中：|||
归属于母公司股东的综合收益总额||925,723|1,787,906
归属于少数股东的综合收益总额||-|127
每股收益|49||
基本每股收益（元/股）||0.10|0.20
稀释每股收益（元/股）||0.10|0.20
