page|76
2019年12月31日|||人民币千元
资产|附注十三|2019年12月31日|2018年12月31日
流动资产|||
货币资金||1,779,736|2,762,442
交易性金融资产||400,000|30,000
应收账款|1|5,610|29,851
应收款项融资||861,373|575,652
预付款项||707,289|908,523
其他应收款|2|78,027|10,500
存货||3,931,513|3,192,201
其他流动资产||43,410|279
流动资产合计||7,806,958|7,509,448
非流动资产|||
长期股权投资|3|28,258|-
其他权益工具投资||5,000|5,000
固定资产||16,442,087|16,914,084
在建工程||171,858|16,593
无形资产||2,392,114|2,454,327
递延所得税资产||68,192|31,067
其他非流动资产||12,513|-
非流动资产合计||19,120,022|19,421,071
资产总计||26,926,980|26,930,519
page|77
重庆钢铁股份有限公司||
资产负债表（续）||
2019年12月31日||人民币千元
负债和股东权益|2019年12月31日|2018年12月31日
流动负债||
短期借款|384,528|-
应付票据|91,127|1,199,147
应付账款|1,726,883|1,746,742
合同负债|1,105,972|1,004,220
应付职工薪酬|257,143|333,407
应交税费|70,398|34,741
其他应付款|421,590|348,348
一年内到期的非流动负债|841,576|416,317
其他流动负债|144,958|160,675
流动负债合计|5,044,175|5,243,597
非流动负债||
长期借款|-|300,000
长期应付职工薪酬|201,737|240,615
递延收益|38,271|40,495
其他非流动负债|2,250,000|2,575,500
非流动负债合计|2,490,008|3,156,610
负债合计|7,534,183|8,400,207
股东权益||
股本|8,918,602|8,918,602
资本公积|19,313,090|19,313,090
减：库存股|62,314|-
专项储备|14,573|13,644
盈余公积|577,012|577,012
未分配利润|(9,368,166)|(10,292,036)
股东权益合计|19,392,797|18,530,312
负债和股东权益总计|26,926,980|26,930,519
page|81
|2019年|2018年
一、 经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|22,365,668|13,269,131
收到其他与经营活动有关的现金|149,135|173,919
经营活动现金流入小计|22,514,803|13,443,050
购买商品、接受劳务支付的现金|20,843,237|9,306,899
支付给职工以及为职工支付的现金|1,205,096|1,536,290
支付的各项税费|549,662|262,516
支付其他与经营活动有关的现金|328,176|994,972
经营活动现金流出小计|22,926,171|12,100,677
经营活动产生的现金流量净额|(411,368)|1,342,373
二、 投资活动产生的现金流量：||
收回投资收到的现金|1,008,800|591,636
取得投资收益收到的现金|20,114|-
处置固定资产、无形资产和其他长期资||
产收回的现金净额|-|16,229
处置子公司及其他营业单位收到的现金||
净额|-|2,289
收到的其他与投资活动有关的现金|980|-
投资活动现金流入小计|1,029,894|610,154
购建固定资产、无形资产和其他长期资||
产支付的现金|337,444|14,256
投资支付的现金|1,407,058|620,000
投资活动现金流出小计|1,744,502|634,256
