page|98
||2021 年 12 月 31 日|
编制单位: 内蒙古君正能源化工集团股份有限公司|||
|||单位:元  币种:人民币
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|十（七）1|2,170,684,684.42|4,362,937,597.95
结算备付金|||
拆出资金|||
交易性金融资产|十（七）2|5,227,262,158.11|3,336,668,396.98
衍生金融资产|||
应收票据|十（七）4|824,981,749.35|146,045,240.36
应收账款|十（七）5|734,025,270.43|590,313,148.79
应收款项融资|十（七）6|205,759,259.36|661,193,181.71
预付款项|十（七）7|62,461,417.23|135,452,384.88
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|十（七）8|221,684,493.74|233,389,785.53
其中：应收利息|||129,093.52
应收股利||51,443,645.64|43,385,054.82
买入返售金融资产|||
存货|十（七）9|856,583,475.98|540,130,606.97
合同资产|十（七）10|157,446,102.06|154,958,929.57
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|十（七）13|514,113,198.65|131,545,246.08
流动资产合计||10,975,001,809.33|10,292,634,518.82
非流动资产：|||
发放贷款和垫款|||11,616,839.62
page|99
|||2021 年年度报告
长期应收款|十（七）16|29,404,747.78|34,342,516.44
长期股权投资|十（七）17|4,624,225,588.28|4,749,301,554.62
其他权益工具投资|十（七）18|774,308,479.37|748,092,780.01
其他非流动金融资产|||
投资性房地产|十（七）20|29,168,482.15|25,013,732.57
固定资产|十（七）21|11,463,821,105.80|12,136,195,297.37
在建工程|十（七）22|289,804,302.80|192,386,251.58
生产性生物资产|||
油气资产|||
使用权资产|十（七）25|2,219,237,970.63|
无形资产|十（七）26|670,576,299.93|747,099,451.39
开发支出|||
商誉|十（七）28|1,458,807,545.25|1,501,603,035.83
长期待摊费用|十（七）29|103,815,764.70|61,801,556.82
递延所得税资产|十（七）30|103,327,891.33|105,164,651.88
其他非流动资产|十（七）31|3,350,403,159.62|3,074,896,037.14
非流动资产合计||25,116,901,337.64|23,387,513,705.27
资产总计||36,091,903,146.97|33,680,148,224.09
流动负债：|||
短期借款|十（七）32|8,000,000.00|1,540,454,291.69
向中央银行借款|||
拆入资金|||
交易性金融负债|十（七）33|53,096,886.00|59,224,500.00
衍生金融负债|||
应付票据|十（七）35|513,785,296.86|245,229,386.56
应付账款|十（七）36|1,791,354,065.15|1,530,212,270.74
预收款项|||
合同负债|十（七）38|632,842,327.08|471,528,736.69
page|100
|||2021 年年度报告
应交税费|十（七）40|605,351,512.59|717,092,396.75
其他应付款|十（七）41|3,501,226,337.28|3,747,127,125.86
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|十（七）43|1,128,897,984.55|787,925,919.68
其他流动负债|十（七）44|155,435,652.91|56,653,602.65
流动负债合计||8,582,164,977.65|9,322,613,135.56
非流动负债：|||
保险合同准备金|||
|十（七）45||
长期借款||2,281,964,876.43|2,945,641,125.63
应付债券|||
其中：优先股|||
永续债|||
租赁负债|十（七）47|1,815,754,482.80|
长期应付款|||
长期应付职工薪酬|||
预计负债|十（七）50|105,495.96|208,310.70
递延收益|十（七）51|95,024,004.11|82,791,548.66
递延所得税负债|十（七）30|168,531,340.74|125,220,751.03
其他非流动负债|||
非流动负债合计||4,361,380,200.04|3,153,861,736.02
负债合计||12,943,545,177.69|12,476,474,871.58
所有者权益（或股东权益）：|||
实收资本（或股本）|十（七）53|8,438,017,390.00|8,438,017,390.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|十（七）55|337,355,335.16|332,108,524.11
减：库存股|||
其他综合收益|十（七）57|-192,074,383.91|-79,893,959.92
page|101
|||2021 年年度报告
专项储备|十（七）58|30,114,456.53|21,962,944.93
盈余公积|十（七）59|1,610,902,520.05|1,179,477,607.12
一般风险准备|||
未分配利润|十（七）60|12,434,135,059.24|10,860,890,864.84
归属于母公司所有者权益|||
||22,658,450,377.07|20,752,563,371.08
（或股东权益）合计|||
少数股东权益||489,907,592.21|451,109,981.43
所有者权益（或股东权|||
||23,148,357,969.28|21,203,673,352.51
益）合计|||
负债和所有者权益（或|||
||36,091,903,146.97|33,680,148,224.09
股东权益）总计|||
