page|6
二、 联系人和联系方式|
董事会秘书|证券事务代表
姓名 张杰|崔静
内蒙古乌海市滨河新区海达君正街|内蒙古乌海市滨河新区海达君正街
联系地址|
君正长河华府办公楼|君正长河华府办公楼
电话 0473-6921035|0473-6921035
0473-6921034 传真|0473-6921034
电子信箱 junzheng@junzhenggroup.com|junzheng@junzhenggroup.com
三、 基本情况简介|
公司注册地址|内蒙古乌海市乌达工业园区
公司注册地址的历史变更情况|无
公司办公地址|内蒙古乌海市乌达工业园区
公司办公地址的邮政编码|016040
公司网址|http://www.junzhenggroup.com
电子信箱|junzheng@junzhenggroup.com
四、 信息披露及备置地点|
|中国证券报（https://www.cs.com.cn）
公司披露年度报告的媒体名称及网址|
|上海证券报（https://www.cnstock.com）
公司披露年度报告的证券交易所网址|http://www.sse.com.cn
公司年度报告备置地点|公司董事会办公室
