page|61
项目|附 注|2020 年度|2019 年度
一、营业总收入||5,272,466,220.56|23,588,709,597.84
其中：营业收入||5,272,466,220.56|23,588,709,597.84
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||10,367,818,712.76|24,851,560,788.17
其中：营业成本||6,791,810,908.43|21,393,915,356.95
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||40,796,555.79|81,342,883.69
销售费用||1,008,070,794.78|1,648,203,135.11
管理费用||748,415,547.36|806,614,430.20
研发费用||973,190,903.17|438,560,465.97
财务费用||805,534,003.23|482,924,516.25
其中：利息费用||972,864,999.54|623,260,770.28
利息收入||170,965,996.81|150,856,976.15
加：其他收益||114,771,773.23|1,113,950,236.83
投资收益（损失以“－”号填列）||69,323,846.49|132,081,869.11
其中：对联营企业和合营企业的投资收益||-39,945,036.51|-3,090,197.52
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|62
公允价值变动收益（损失以“－”号填列）||28,275,931.60|2,870,865.73
信用减值损失（损失以“-”号填列）||-638,492,847.84|26,154,119.47
资产减值损失（损失以“-”号填列）||-1,023,359,582.30|-165,703,184.99
资产处置收益（损失以“－”号填列）||-14,454,119.36|-11,191,878.38
三、营业利润（亏损以“－”号填列）||-6,559,287,490.38|-164,689,162.56
加：营业外收入||7,111,673.79|11,796,992.98
减：营业外支出||9,232,448.35|2,629,365.45
四、利润总额（亏损总额以“－”号填列）||-6,561,408,264.94|-155,521,535.03
减：所得税费用||-85,008,394.57|-159,410,419.14
五、净利润（净亏损以“－”号填列）||-6,476,399,870.37|3,888,884.11
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-6,476,399,870.37|3,888,884.11
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-6,482,440,212.17|92,010,083.32
2.少数股东损益（净亏损以“-”号填列）||6,040,341.80|-88,121,199.21
六、其他综合收益的税后净额||18,731,556.56|-22,892,070.72
（一）归属母公司所有者的其他综合收益的税后净额||18,725,813.64|-24,059,312.17
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||18,725,813.64|-24,059,312.17
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动||18,725,813.64|-24,059,312.17
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||5,742.92|1,167,241.45
七、综合收益总额||-6,457,668,313.81|-19,003,186.61
（一）归属于母公司所有者的综合收益总额||-6,463,714,398.53|67,950,771.15
（二）归属于少数股东的综合收益总额||6,046,084.72|-86,953,957.76
八、每股收益：|||
（一）基本每股收益(元/股)||-1.8555|0.0264
（二）稀释每股收益(元/股)||-1.8555|0.0264
