page|81
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,753,042,462.96|3,068,199,092.15
page|82
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||22,910,248.87|25,236,417.05
收到其他与经营活动有关的现金|77|128,649,063.20|198,783,516.06
经营活动现金流入小计||3,904,601,775.03|3,292,219,025.26
购买商品、接受劳务支付的现金||1,050,217,430.73|866,153,070.19
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||802,172,778.03|706,351,076.08
支付的各项税费||293,859,911.85|239,027,215.48
支付其他与经营活动有关的现金|77|723,696,803.31|694,352,304.05
经营活动现金流出小计||2,869,946,923.92|2,505,883,665.80
经营活动产生的现金流量净额||1,034,654,851.11|786,335,359.46
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,004,130,843.73|3,725,122,111.30
取得投资收益收到的现金||55,211,815.98|60,087,449.16
处置固定资产、无形资产和其他长期资产收回的现金净额||1,541,883.37|1,888,136.04
处置子公司及其他营业单位收到的现金净额||8,278,046.01|36,151,011.84
收到其他与投资活动有关的现金|77|20,000,000.00|47,022,442.45
投资活动现金流入小计||4,089,162,589.09|3,870,271,150.79
购建固定资产、无形资产和其他长期资产支付的现金||296,500,771.16|376,587,613.32
投资支付的现金||4,754,883,251.05|3,519,450,922.77
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||371,156,748.75|595,606,486.68
支付其他与投资活动有关的现金|77|20,000,000.00|
投资活动现金流出小计||5,442,540,770.96|4,491,645,022.77
投资活动产生的现金流量净额||-1,353,378,181.87|-621,373,871.98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||26,285,000.00|36,800,000.00
其中：子公司吸收少数股东投资收到的现金||26,285,000.00|36,800,000.00
取得借款收到的现金||821,000,000.00|1,150,000,000.00
收到其他与筹资活动有关的现金||15,690,000.00|
page|83
筹资活动现金流入小计||862,975,000.00|1,186,800,000.00
偿还债务支付的现金||850,500,000.00|300,000,000.00
分配股利、利润或偿付利息支付的现金||467,376,560.04|286,121,525.33
其中：子公司支付给少数股东的股利、利润||325,458,428.96|181,092,177.24
支付其他与筹资活动有关的现金|77|48,571,188.60|169,547,010.19
筹资活动现金流出小计||1,366,447,748.64|755,668,535.52
筹资活动产生的现金流量净额||-503,472,748.64|431,131,464.48
四、汇率变动对现金及现金等价物的影响||-5,508,588.38|587,741.65
五、现金及现金等价物净增加额||-827,704,667.78|596,680,693.61
加：期初现金及现金等价物余额||1,636,014,099.82|1,039,333,406.21
六、期末现金及现金等价物余额||808,309,432.04|1,636,014,099.82
