page|77
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,637,016,413.65|1,394,250,784.91
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的|||
page|78
现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78.（1）|56,657,850.14|27,841,030.03
经营活动现金流入小计||1,693,674,263.79|1,422,091,814.94
购买商品、接受劳务支付的现金||1,017,353,108.80|688,325,481.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||257,825,332.15|222,168,034.81
支付的各项税费||130,246,184.08|124,657,738.74
支付其他与经营活动有关的现金|七、78.（2）|139,828,656.98|204,137,754.89
经营活动现金流出小计||1,545,253,282.01|1,239,289,010.42
经营活动产生的现金流量净额||148,420,981.78|182,802,804.52
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||100,368.35|100,368.35
处置固定资产、无形资产和其他长期资产收回的现金净额||1,277,642.89|666,711.11
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,378,011.24|767,079.46
购建固定资产、无形资产和其他长期资产支付的现金||87,620,034.94|77,730,882.87
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的|七、78.（4）|37,673,441.18|195,960.00
page|79
现金|||
投资活动现金流出小计||125,293,476.12|77,926,842.87
投资活动产生的现金流量净额||-123,915,464.88|-77,159,763.41
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||331,700,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||393,000,000.00|255,800,000.00
收到其他与筹资活动有关的现金|七、78.（5）|39,020,000.00|36,840,000.00
筹资活动现金流入小计||763,720,000.00|292,640,000.00
偿还债务支付的现金||453,378,571.60|326,617,142.80
分配股利、利润或偿付利息支付的现金||48,498,826.41|75,442,607.40
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78.（6）|9,496,418.97|1,132,075.48
筹资活动现金流出小计||511,373,816.98|403,191,825.68
筹资活动产生的现金流量净额||252,346,183.02|-110,551,825.68
四、汇率变动对现金及现金等价物的影响||-1,764,668.75|-66,260.79
五、现金及现金等价物净增加额||275,087,031.17|-4,975,045.36
加：期初现金及现金等价物余额||150,258,866.19|155,233,911.55
六、期末现金及现金等价物余额||425,345,897.36|150,258,866.19
