page|91
|附注五|2019年|2018年
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||141,859,497|145,651,892
收到的税费返还||94,703|110,366
收到的其他与经营活动有关的现金|51|7,746,938|7,010,095
现金流入小计||149,701,138|152,772,353
购买商品、接受劳务支付的现金||(73,884,142)|(82,614,597)
支付给职工以及为职工支付的现金||(25,105,166)|(23,822,643)
支付的各项税费||(5,413,115)|(6,739,478)
支付的其他与经营活动有关的现金|51|(6,958,532)|(8,176,745)
现金流出小计||(111,360,955)|(121,353,463)
经营活动产生的现金流量净额|52|38,340,183|31,418,890
二、投资活动产生的现金流量|||
收回已质押的银行存款||192,938|12,362
取得投资收益收到的现金||635,498|401,296
处置固定资产和无形资产所收到|||
的现金净额||766,210|693,475
处置子公司收到的现金|52|-|1,996,025
收回投资收到的现金||-|222,768
收到的其他与投资活动有关的现金|51|163,185|241,421
现金流入小计||1,757,831|3,567,347
购建固定资产和其他长期资产支付的现金||(13,108,682)|(12,307,679)
投资支付的现金||(613,399)|-
增加已质押的银行存款||(2,380)|(209,364)
现金流出小计||(13,724,461)|(12,517,043)
投资活动产生的现金流量净额||(11,966,630)|(8,949,696)
