page|77
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|（一）|18,035,321,323.08|29,257,171,302.42
结算备付金|||
拆出资金|||
交易性金融资产|（二）||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|（四）|225,618,531.69|356,913,121.48
应收账款|（五）|2,426,571,365.87|2,787,148,214.83
应收款项融资|||
预付款项|（七）|226,469,831.79|391,186,780.41
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|1,521,034,307.91|887,016,367.57
其中：应收利息|||14,858,562.88
应收股利||789,449,315.18|14,494,162.94
买入返售金融资产|||
存货|（九）|14,133,290,986.84|11,880,149,835.24
持有待售资产|（十）||569,705.72
一年内到期的非流动资产|（十一）|515,576,504.53|747,527,121.41
其他流动资产|（十二）|3,315,748,664.96|1,534,938,388.24
流动资产合计||40,399,631,516.67|47,842,620,837.32
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|（十三）||713,653,458.80
其他债权投资|||
持有至到期投资|||
长期应收款|（十六）|763,555,599.00|1,023,062,617.47
长期股权投资|（十七）|46,094,721,619.19|39,825,285,567.24
其他权益工具投资|（十八）|80,000.00|
其他非流动金融资产|（十九）|1,302,712,502.43|
投资性房地产|（二十）|885,889,978.57|768,151,749.26
固定资产|（二十一）|30,239,894,369.76|31,839,694,614.19
在建工程|（二十二）|2,006,013,809.13|651,307,635.50
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十六）|14,443,114,935.21|14,654,693,722.68
page|78
开发支出|（二十七）|2,206,081.45|
商誉|（二十八）|187,024,567.58|180,491,630.93
长期待摊费用|（二十九）|4,656,306,038.81|4,767,384,724.27
递延所得税资产|（三十）|955,025,634.97|946,325,437.57
其他非流动资产|（三十一）|241,119,265.19|1,154,362,020.67
非流动资产合计||101,777,664,401.29|96,524,413,178.58
资产总计||142,177,295,917.96|144,367,034,015.90
流动负债：|||
短期借款|（三十二）|56,275,628.89|13,971,084,779.20
应付短期融资券|（三十三）|5,584,701,369.85|4,000,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|（三十四）|581,766,269.37|
以公允价值计量且其变动计入当期损益的金融负债|||550,969,787.57
衍生金融负债|||
应付票据|（三十六）||18,075,900.00
应付账款|（三十七）|4,934,124,767.63|3,958,284,057.09
预收款项|（三十八）|338,117,031.42|341,444,545.00
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|481,209,363.93|499,633,847.67
应交税费|（四十）|1,023,635,490.96|2,736,133,887.52
其他应付款|（四十一）|2,238,412,440.49|2,389,397,715.29
其中：应付利息|||350,029,565.06
应付股利||5,013,226.75|121,762,002.65
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十三）|4,099,207,486.09|3,211,374,191.01
其他流动负债|（四十四）|1,822,641.51|
流动负债合计||19,339,272,490.14|31,676,398,710.35
非流动负债：|||
保险合同准备金|||
长期借款|（四十五）|14,210,275,930.32|14,107,168,508.97
应付债券|（四十六）|16,117,063,962.51|14,448,367,631.63
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|（四十八）|946,063,556.19|1,037,700,746.28
长期应付职工薪酬|||
预计负债|（五十）|875,285.49|875,285.49
递延收益|（五十一）|158,922,575.80|152,359,283.66
递延所得税负债|（三十）|615,964,461.47|593,849,399.27
其他非流动负债|||
非流动负债合计||32,049,165,771.78|30,340,320,855.30
page|79
负债合计||51,388,438,261.92|62,016,719,565.65
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|23,173,674,650.00|23,173,674,650.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（五十五）|9,783,755,903.41|8,642,598,036.76
减：库存股|||
其他综合收益|（五十七）|-253,214,104.38|-194,666,716.72
专项储备|（五十八）|11,813,959.54|6,847,533.60
盈余公积|（五十九）|7,679,702,010.62|6,940,855,096.25
一般风险准备|||
未分配利润|（六十）|41,661,016,367.76|36,978,687,102.54
归属于母公司所有者权益（或股东权益）合计||82,056,748,786.95|75,547,995,702.43
少数股东权益||8,732,108,869.09|6,802,318,747.82
所有者权益（或股东权益）合计||90,788,857,656.04|82,350,314,450.25
负债和所有者权益（或股东权益）总计||142,177,295,917.96|144,367,034,015.90
