page|85
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||33,671,292,666.21|34,407,654,509.23
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||49,108,347.31|53,997,654.42
收到其他与经营活动有关的现金|（七十七）|3,376,311,271.19|4,027,803,548.12
经营活动现金流入小计||37,096,712,284.71|38,489,455,711.77
购买商品、接受劳务支付的现金||16,983,118,354.00|18,708,590,544.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||6,701,001,882.88|7,151,759,671.10
支付的各项税费||4,524,862,462.16|3,452,418,649.69
支付其他与经营活动有关的现金|（七十七）|2,714,698,573.35|3,466,533,158.28
经营活动现金流出小计||30,923,681,272.39|32,779,302,023.48
|经营活动产生的现金流量净额  （七十八）|6,173,031,012.32|5,710,153,688.29
二、投资活动产生的现金流量：|||
收回投资收到的现金||623,003,996.05|4,461,896,952.28
取得投资收益收到的现金||1,205,472,744.04|1,114,347,154.78
处置固定资产、无形资产和其他长期资产收回的现金净额||157,067,498.48|105,258,739.14
处置子公司及其他营业单位收到的现金净额|（七十八）|105,672,898.23|12,655,138,564.71
收到其他与投资活动有关的现金|（七十七）|1,382,361,945.19|1,250,877.95
投资活动现金流入小计||3,473,579,081.99|18,337,892,288.86
购建固定资产、无形资产和其他长期资产支付的现金||2,575,695,567.57|1,434,904,884.43
投资支付的现金||2,565,185,197.78|7,323,042,706.52
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|（七十八）|361,053,967.33|2,179,714,787.76
支付其他与投资活动有关的现金|（七十七）|1,002,766,493.38|1,278,565,329.82
投资活动现金流出小计||6,504,701,226.06|12,216,227,708.53
投资活动产生的现金流量净额||-3,031,122,144.07|6,121,664,580.33
page|86
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,307,400,000.00|161,000,000.00
其中：子公司吸收少数股东投资收到的现金||3,307,400,000.00|161,000,000.00
取得借款收到的现金||18,005,853,223.74|33,499,040,634.84
收到其他与筹资活动有关的现金|（七十七）|8,579,432,748.23|
筹资活动现金流入小计||29,892,685,971.97|33,660,040,634.84
偿还债务支付的现金||37,239,096,365.70|26,860,570,851.50
分配股利、利润或偿付利息支付的现金||5,809,129,891.35|6,849,485,184.33
其中：子公司支付给少数股东的股利、利润||1,060,206,627.69|1,412,602,533.48
支付其他与筹资活动有关的现金|（七十七）|69,164,721.49|4,212,961,416.50
筹资活动现金流出小计||43,117,390,978.54|37,923,017,452.33
筹资活动产生的现金流量净额||-13,224,705,006.57|-4,262,976,817.49
四、汇率变动对现金及现金等价物的影响||48,003,819.18|120,282,144.80
五、现金及现金等价物净增加额||-10,034,792,319.14|7,689,123,595.93
加：期初现金及现金等价物余额||27,935,157,994.83|20,246,034,398.90
六、期末现金及现金等价物余额||17,900,365,675.69|27,935,157,994.83
