page|81
项目|附注五|2019 年度|2018 年度
一、营业总收入||36,101,631,985.21|38,042,544,621.37
其中：营业收入|（六十一）|36,101,631,985.21|38,042,544,621.37
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||29,436,371,798.96|30,746,181,739.85
其中：营业成本|（六十一）|25,015,768,134.15|25,966,578,948.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|342,887,409.32|375,111,075.14
销售费用|（六十三）|79,623,718.49|93,419,895.84
管理费用|（六十四）|3,138,260,898.64|3,050,090,720.18
研发费用|（六十五）|47,207,613.87|51,556,872.04
财务费用|（六十六）|812,624,024.49|1,209,424,228.25
其中：利息费用||1,166,874,401.96|1,523,454,505.24
page|82
利息收入||281,571,003.00|293,738,463.85
加：其他收益|（六十七）|665,515,017.30|748,850,882.15
|投资收益（损失以“－”号填列）  （六十八）|4,907,452,292.92|6,225,701,538.83
其中：对联营企业和合营企业的投资收益||4,905,711,268.70|3,519,615,581.16
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|-132,226,436.25|-38,601,637.89
信用减值损失（损失以“-”号填列）|（七十一）|13,302,948.44|
资产减值损失（损失以“-”号填列）|（七十二）|-324,164,031.46|-28,890,486.38
资产处置收益（损失以“－”号填列）|（七十三）|73,937,449.17|57,717,405.70
三、营业利润（亏损以“－”号填列）||11,869,077,426.37|14,261,140,583.93
加：营业外收入|（七十四）|96,079,813.78|107,246,273.76
减：营业外支出|（七十五）|141,126,750.90|40,622,011.75
四、利润总额（亏损总额以“－”号填列）||11,824,030,489.25|14,327,764,845.94
减：所得税费用|（七十六）|1,898,185,106.91|2,855,743,742.78
五、净利润（净亏损以“－”号填列）||9,925,845,382.34|11,472,021,103.16
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||9,925,845,382.34|11,472,021,103.16
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||9,062,278,383.66|10,276,342,534.27
2.少数股东损益（净亏损以“-”号填列）||863,566,998.68|1,195,678,568.89
六、其他综合收益的税后净额||-197,209,230.86|-954,348,960.96
（一）归属母公司所有者的其他综合收益的税后净额||-197,835,931.37|-968,204,450.82
1．不能重分类进损益的其他综合收益||-14,572,982.05|281,329.23
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-14,572,982.05|281,329.23
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-183,262,949.32|-968,485,780.05
（1）权益法下可转损益的其他综合收益||-406,263,904.50|-507,941,517.18
（2）其他债权投资公允价值变动|||
page|83
（3）可供出售金融资产公允价值变动损益|||-639,035,985.69
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||223,000,955.18|178,491,722.82
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||626,700.51|13,855,489.86
七、综合收益总额||9,728,636,151.48|10,517,672,142.20
（一）归属于母公司所有者的综合收益总额||8,864,442,452.29|9,308,138,083.45
（二）归属于少数股东的综合收益总额||864,193,699.19|1,209,534,058.75
八、每股收益：|||
（一）基本每股收益(元/股)||0.3911|0.4434
（二）稀释每股收益(元/股)||0.3911|0.4434
