page|93
|附注四|2019年度|2018年度|2019年度|2018年度
项       目|||||
|(除另注外)|合并|合并|公司|公司
一、营业收入|(39),十五(12)|27,983,760,363|26,575,255,205|20,169,631,508|18,685,157,144
|(39),(44),||||
减:营业成本|十五(12),(13)|(17,080,443,282)|(16,555,774,979)|(16,042,976,582)|(14,948,724,970)
税金及附加|(40)|(2,313,322,793)|(2,326,543,366)|(558,846,365)|(529,204,067)
销售费用|(41),(44),十五(13)|(5,103,505,734)|(4,868,834,502)|(3,307,273,882)|(3,064,674,675)
管理费用|(42),(44),十五(13)|(1,881,053,486)|(1,386,380,042)|(450,304,837)|(421,980,054)
研发费用|(43),(44),十五(13)|(21,088,710)|(19,755,502)|(21,088,710)|(19,755,502)
财务费用|(45),十五(14)|484,172,216|497,115,822|159,701,910|57,208,893
其中:利息费用||(13,621,266)|(13,707,476)|-|-
利息收入||514,830,422|536,675,628|166,807,682|75,798,516
加:其他收益|(48)|602,897,696|523,174,569|103,473,086|63,915,723
投资收益|(49),十五(17)|24,508,766|20,518,603|1,112,100,794|1,160,686,985
其中:对联营企业和合营企业|||||
的投资收益||21,182,903|16,615,487|19,996,888|16,323,543
公允价值变动收益|||||
(损失以“-”号填列)|(50)|56,754,451|54,170,936|-|-
信用减值损失|||||
(损失以“-”号填列)|(46),十五(15)|7,091,211|1,311,608|(30,106,734)|32,321,925
资产减值损失|||||
(损失以“-”号填列)|(47),十五(16)|(121,051,420)|(147,032,754)|(264,289,789)|(275,159,527)
资产处置收益|||||
(损失以“-”号填列)|(51)|59,170,551|10,339,068|(7,154,072)|(14,415,726)
二、营业利润||2,697,889,829|2,377,564,666|862,866,327|725,376,149
加:营业外收入|(52)|34,664,591|15,921,391|7,638,286|436,795
减:营业外支出|(53)|(5,643,591)|(13,719,191)|(3,993,988)|(6,998,583)
三、利润总额||2,726,910,829|2,379,766,866|866,510,625|718,814,361
减:所得税费用|(54),十五(18)|(797,794,436)|(818,755,412)|(49,121,713)|19,147,151
四、净利润||1,929,116,393|1,561,011,454|817,388,912|737,961,512
按经营持续性分类|||||
持续经营净利润||1,929,116,393|1,561,011,454|817,388,912|737,961,512
终止经营净利润||-|-|-|-
按所有权归属分类|||||
少数股东损益||77,013,017|138,811,749|—|—
归属于母公司股东的净利润||1,852,103,376|1,422,199,705|817,388,912|737,961,512
五、其他综合收益的税后净额|(35)|(2,650,829)|(29,549,068)|1,037,000|(21,613,000)
归属于母公司股东的其他综合收益的税后净额|||||
不能重分类进损益的其他综合收益|||||
重新计量设定受益计划变动额||907,000|(22,516,000)|1,037,000|(21,613,000)
将重分类进损益的其他综合收益|||||
权益法下可转损益的其他综合收益||9,413|(12,848)|-|-
外币财务报表折算差额||(3,567,242)|(7,020,220)|-|-
六、综合收益总额||1,926,465,564|1,531,462,386|818,425,912|716,348,512
归属于母公司股东的综合收益总额||1,849,452,547|1,392,650,637|818,425,912|716,348,512
归属于少数股东的综合收益总额||77,013,017|138,811,749|—|—
七、每股收益|||||
基本每股收益|(55)|1.371|1.053|—|—
后稀释每股收益|(55)|1.371|1.053|—|—
