page|91
2|019 年 12 月 31 日合并及公司资产负债表|||||
|(除特别注明外，金额单位为人民币元)|||||
||附注四|2019年12月31日|2018年12月31日|2019年12月31日|2018年12月31日
|资                产|||||
||(除另注外)|合并|合并|公司|公司
|流动资产|||||
|货币资金|(1)|15,301,983,408|12,535,737,018|6,073,903,675|5,114,874,023
|交易性金融资产|(2)|1,523,793,019|1,202,544,491|-|-
|应收票据|(3)|75,100,000|53,801,550|75,100,000|53,801,550
|应收账款|(4),十五(1)|151,069,427|110,705,784|1,191,236,318|1,111,186,119
|预付款项|(5)|117,156,091|173,564,933|81,193,236|141,333,150
|其他应收款|(6),十五(2)|86,269,436|297,784,761|661,842,853|568,746,003
|存货|(7),十五(3)|3,181,769,333|2,651,224,726|1,440,374,542|1,047,023,276
|其他流动资产|(8)|564,677,336|734,941,934|337,621,348|411,447,441
|流动资产合计||21,001,818,050|17,760,305,197|9,861,271,972|8,448,411,562
|非流动资产|||||
|债权投资|十五(4)|-|-|163,325,489|103,300,000
|长期股权投资|(9),十五(5)|376,641,802|370,486,200|10,452,229,369|10,098,869,195
|其他非流动金融资产||600,000|600,000|300,000|300,000
|投资性房地产|(10)|36,504,682|27,932,768|28,074,694|29,398,611
|固定资产|(11),十五(6)|10,222,034,465|10,326,694,147|2,075,232,310|2,082,331,715
|在建工程|(12)|178,993,842|379,891,294|29,888,393|33,024,290
|使用权资产|(13)|66,970,435|—|29,566,778|—
|无形资产|(14),十五(7)|2,558,572,455|2,599,685,515|507,006,725|528,583,144
|商誉|(15)|1,307,103,982|1,307,103,982|-|-
|长期待摊费用|(16)|35,255,388|33,107,419|3,897,707|1,096,220
|递延所得税资产|(17)|1,455,035,532|1,207,020,387|885,429,696|825,985,377
|其他非流动资产|(19)|72,852,914|62,438,096|31,543,686|14,738,527
|非流动资产合计||16,310,565,497|16,314,959,808|14,206,494,847|13,717,627,079
|资产总计||37,312,383,547|34,075,265,005|24,067,766,819|22,166,038,641
page|92
负  债  及  股  东  权  益|||||
|(除另注外)|合并|合并|公司|公司
流动负债|||||
短期借款|(20)|270,906,631|296,155,600|-|-
应付票据|(21)|220,825,323|326,075,937|119,897,333|137,954,505
应付账款|(22)|2,167,178,181|2,246,348,607|2,454,746,492|1,808,755,123
合同负债|(23)|6,275,719,703|5,237,538,511|4,472,664,628|3,735,161,617
应付职工薪酬|(24)|1,458,665,786|1,175,461,292|531,653,920|485,320,980
应交税费|(25)|513,058,160|691,133,999|99,681,934|132,203,110
其他应付款|(26)|2,424,857,501|2,113,507,358|1,011,094,365|777,996,862
一年内到期的非流动负债|(27)|22,208,025|420,320|9,183,992|-
其他流动负债||361,684|228,510|-|-
流动负债合计||13,353,780,994|12,086,870,134|8,698,922,664|7,077,392,197
非流动负债|||||
长期借款|(28)|209,180|630,480|-|-
租赁负债|(29)|37,471,885|—|17,127,751|—
长期应付款|(30)|372,579,660|222,324,164|-|-
递延收益|(31)|2,519,926,935|2,343,747,145|425,786,239|442,625,999
长期应付职工薪酬|(32)|931,008,557|526,560,514|425,765,776|315,818,409
递延所得税负债|(17)|184,035,480|205,181,181|-|-
非流动负债合计||4,045,231,697|3,298,443,484|868,679,766|758,444,408
负债合计||17,399,012,691|15,385,313,618|9,567,602,430|7,835,836,605
股东权益|||||
股本|(33)|1,350,982,795|1,350,982,795|1,350,982,795|1,350,982,795
资本公积|(34),十五(9)|3,444,317,455|3,444,186,312|4,306,633,811|4,306,625,628
其他综合收益|(35),十五(10)|(47,347,633)|(44,696,804)|(47,445,000)|(48,482,000)
盈余公积|(36)|1,400,704,380|1,400,704,380|1,400,704,380|1,400,704,380
一般风险准备|(37)|234,715,680|199,512,331|-|-
未分配利润|(38),十五(11)|12,788,210,357|11,619,782,072|7,489,288,403|7,320,371,233
归属于母公司股东权益合计||19,171,583,034|17,970,471,086  14,500,164,389||14,330,202,036
少数股东权益||741,787,822|719,480,301|—|—
股东权益合计||19,913,370,856|18,689,951,387  14,500,164,389||14,330,202,036
负债及股东权益总计||37,312,383,547|34,075,265,005  24,067,766,819||22,166,038,641
